Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
MEX05214,2015-03-21,,,0.0178155,,,49780.0,,,0.025308,0.02,4.39,,39824.0,30.1,19.1,8.5,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.118025,,,1.919336,0.263458,0.1,62.0,54.3,,,,0.3822,0.01,35.0,3.0,0.005,11.38,15.0,150.0,0.5,0.001361,0.005,28.7,1.874028,25.81,1.756003,0.199099,,,,,,,,539
MEX05214,2015-05-07,,,0.019115,,,35706.0,,,0.021,0.122763,5.35,,28564.8,29.4,19.0,9.0,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.193811,,,0.936728,0.237453,0.1,70.0,77.6,,,,0.3641,0.01,50.0,3.0,0.005,9.651,3.0,93.0,0.5,0.002379,0.005,29.4,0.792965,24.45,0.599154,0.110322,,,,,,,,539
MEX05214,2015-07-09,,,0.0033986,,,48373.0,,,0.034462,0.805503,4.24,,38698.4,27.0,23.1,8.2,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.572462,,,3.679015,0.277434,0.3,62.0,62.4,,,,0.1596,0.01,25.0,3.0,0.005,5.031,3.0,3.0,0.5,0.001725,0.005,26.4,2.83905,6.146,2.266588,0.14123,,,,,,,,539
MEX05214,2015-08-19,,,0.0082291,,,35123.0,,,0.036039,0.20657,4.21,,28098.4,28.2,10.8,8.3,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.148687,,,1.720273,0.106551,0.3,90.0,61.26,,,,0.1837,0.01,20.0,3.0,0.005,5.552,7.0,430.0,0.5,0.001263,0.005,29.7,1.477664,6.159,1.328977,0.085463,,,,,,,,539
MEX05214,2016-02-26,,,0.0159488,,,19166.0,,,0.023646,0.18248,4.7,,15332.8,27.4,31.0,8.3,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.157015,,,2.595574,0.245845,0.2,94.0,57.4,,,,0.2514,0.01,25.0,3.0,0.007582,5.868,3.0,3.0,0.5,0.002414,0.005,25.6,2.389448,6.475,2.232433,0.143653,,,,,,,,539
MEX05214,2016-04-21,,,0.00693,,,35123.0,,,0.021,0.565919,5.2,,28098.4,29.7,8.96,7.9,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.09266,,,1.573313,0.13301,0.3,134.0,80.5,,,,0.1389,0.01,10.0,3.0,0.005,3.894,9.0,7.0,0.5,0.001,0.005,28.4,0.986394,3.934,0.893734,0.126237,,,,,,,,539
MEX05214,2016-06-06,,,0.0060198,,,45160.0,,,0.021,0.280076,4.2,,36128.0,28.2,17.3,7.8,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.135141,,,2.16956,0.183702,0.4,34.0,51.5,,,,0.1787,0.01,20.0,3.0,0.005,5.354,210.0,21.0,0.5,0.001,0.005,29.4,1.868484,6.426,1.733343,0.176285,,,,,,,,539
MEX05214,2016-07-12,,,0.011048,,,35466.0,,,0.021,2.40403,3.2,,28372.8,29.7,15.061,8.0,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.036065,,,2.471221,0.220803,0.4,176.0,47.6,,,,0.1961,0.01,20.0,3.0,0.005,5.563,4.0,9.0,0.5,0.003696,0.005,31.4,0.046191,7.307,0.010126,0.110946,,,,,,,,539
MEX05214,2017-03-01,,,0.0005,,,28970.0,,,0.021,0.02,4.8,,23176.0,26.6,4.7,8.1,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.26918,,,1.54587,0.2179,0.5,10.0,67.2,,,,0.3062,0.01,50.0,3.0,0.0107,0.5,1.0,4106.0,0.5,0.0354,0.005,25.0,1.50487,0.5,1.23569,0.1733,,,,,,,,539
MEX05214,2017-04-19,,,0.0005,,,33433.0,,,0.021,0.0779,2.5,,26746.4,26.1,3.1,8.3,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.05707,,,1.21184,0.2176,0.5,15.5,37.0,,,,0.2484,0.01,30.0,3.0,0.0189,0.5,1.0,4352.0,0.5,0.0095,0.005,27.0,1.11294,0.5,1.05587,0.1892,,,,,,,,539
MEX05214,2017-05-31,,,0.0036008,,,47623.0,,,0.021,0.04188,1.1,,38098.4,27.7,8.5,7.8,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.21869,,,1.66396,0.3573,0.5,12.0,16.8,,,,0.2358,0.01,40.0,3.0,0.005,0.5,10.0,2359.0,0.5,0.001,0.005,25.0,1.60108,0.5,1.38239,0.1869,,,,,,,,539
MEX05214,2017-07-12,,,0.0005,,,39923.0,,,0.021,0.02,4.5,,31938.4,28.8,4.6,8.2,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.043095,,,1.491404,0.1556,0.4,16.6667,69.8,,,,0.2726,0.01,25.0,3.0,0.005,0.5,10.0,1274.0,0.5,0.001,0.005,30.0,1.450404,0.5,1.407309,0.1102,,,,,,,,539
MEX05214,2018-01-31,,,0.0005,,,,,,0.021,0.062286,4.8,,,22.7,75.0,7.5,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.310798,,,1.287344,0.2276,0.2,33.8462,52.4,,,,0.3,0.01,60.0,3.0,0.0087,6.651,315.0,1787.0,0.5,0.0104,0.005,21.0,1.204058,6.651,0.89326,0.1226,,,,,,,,539
MEX05214,2018-03-15,,,0.000948,,,,,,0.021,0.024882,8.9,,,28.1,40.0,8.7,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.189206,,,1.551178,0.4042,0.2,129.0,117.4,,,,0.4092,0.01,60.0,3.0,0.0123,11.73,10.0,17329.0,0.5,0.0115,0.005,28.0,1.505296,12.29,1.31609,0.3196,,,,,,,,539
MEX05214,2018-05-08,,,0.0005,,,19813.0,,,0.021,0.082276,5.1,,15850.4,29.6,8.9,8.0,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.786157,,,1.638483,0.4203,0.2,10.0,67.2,,,,0.1404,0.01,50.0,3.0,0.005,10.32,1951.0,19863.0,0.5,0.001,0.005,29.0,1.535207,10.32,0.74905,0.4203,,,,,,,,539
MEX05214,2018-10-24,,,0.0005,,,62100.0,,,0.021,0.029124,6.5,,49680.0,29.5,4.4,7.9,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.063038,,,1.128152,0.138,0.4,34.0,86.1,,,,0.1342,0.01,15.0,3.0,0.005,4.253,10.0,122.0,0.5,0.001,0.005,31.9,1.078028,4.487,1.01499,0.0984,,,,,,,,539
MEX05214,2019-06-18,,,0.007584,,,50900.0,,,0.021,0.024262,4.3,,40720.0,30.8,12.0,7.7,LAGUNA CARMEN-MACHONA 6,18.32447,-93.61002,Mexico,,0.062707,,,3.089989,0.1589,0.4,44.5,58.5,,,,0.2798,0.01,25.0,3.0,0.005,7.982,41.0,2481.0,0.5,0.0016,0.005,32.0,3.044727,9.709,2.98202,0.1153,,,,,,,,539
MEX05215,2015-03-21,,,0.0079871,,,21520.0,,,0.024206,0.02,6.54,,17216.0,27.1,6.3,9.0,LAGUNA CARMEN-MACHONA 7,18.34864,-93.63029,Mexico,,0.114654,,,1.55661,0.149396,0.1,44.0,85.4,,,,0.3111,0.01,35.0,3.0,0.005,9.047,93.0,70.0,0.5,0.001,0.005,34.6,1.512404,24.41,1.39775,0.125502,,,,,,,,539
MEX05215,2015-05-07,,,0.000948,,,38586.0,,,0.021,0.076578,6.07,,30868.8,29.3,8.06,8.9,LAGUNA CARMEN-MACHONA 7,18.34864,-93.63029,Mexico,,0.224715,,,0.731759,0.197429,0.1,36.0,89.5,,,,0.1716,0.01,10.0,3.0,0.005,4.255,3.0,3.0,0.5,0.001085,0.005,31.9,0.634181,19.31,0.409466,0.119698,,,,,,,,539
MEX05215,2015-07-09,,,0.0089346,,,41226.0,,,0.033876,0.127474,4.45,,32980.8,27.6,32.0,8.6,LAGUNA CARMEN-MACHONA 7,18.34864,-93.63029,Mexico,,0.36256,,,2.12716,0.276205,0.3,78.0,66.6,,,,0.1567,0.01,20.0,3.0,0.005,4.518,3.0,3.0,0.5,0.001,0.005,28.1,1.96581,5.772,1.60325,0.152791,,,,,,,,539
MEX05215,2015-08-19,,,0.0043078,,,37423.0,,,0.028822,0.570896,4.13,,29938.4,30.2,11.9,8.5,LAGUNA CARMEN-MACHONA 7,18.34864,-93.63029,Mexico,,0.219949,,,1.947649,0.140477,0.3,146.0,62.7,,,,0.1498,0.01,20.0,3.0,0.005,5.045,7.0,90.0,0.5,0.004834,0.005,32.6,1.347931,5.376,1.127982,0.11586,,,,,,,,539
MEX05215,2016-02-26,,,0.0060139,,,24163.0,,,0.021,0.316821,5.2,,19330.4,27.2,28.7,8.4,LAGUNA CARMEN-MACHONA 7,18.34864,-93.63029,Mexico,,0.183768,,,3.138144,0.214975,0.2,56.0,69.6,,,,0.1963,0.01,20.0,3.0,0.005,4.605,3.0,9.0,0.5,0.001,0.005,26.8,2.800323,5.617,2.616555,0.206476,,,,,,,,539
