Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
NLD00056,2015-01-12,,,,130.0,,,,0.217,0.012,,12.4,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.21,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2015-02-10,,,,110.0,,,,0.194,0.01,,13.5,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.17,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2015-03-10,,,,100.0,,,,0.194,0.008,,10.6,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.14,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2015-04-07,,,,100.0,,,,0.037,0.003,,12.0,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.16,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2015-05-11,,,,120.0,,,,0.065,0.003,,9.5,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.15,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2015-06-11,,,,130.0,,,,0.023,0.003,,9.9,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.15,,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2015-07-16,,,,130.0,,,,0.093,0.005,,8.3,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.15,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2015-08-11,,,,130.0,,,,0.047,0.005,,10.0,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.16,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2015-09-08,,,,140.0,,,,0.078,0.006,,9.3,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.22,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2015-10-05,,,,110.0,,,,0.065,0.004,,9.5,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.22,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2015-11-05,,,,140.0,,,,0.116,0.005,,9.8,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.19,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2015-12-03,,,,130.0,,,,0.148,0.007,,12.0,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.18,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2016-01-11,,,,100.0,,,,0.1242384,0.007012194,,12.0,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.18,,,96.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2016-02-15,,,,84.0,,,,0.1630629,0.007317072,,11.9,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.16,,,92.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2016-03-08,,,,76.0,,,,0.1630629,0.007012194,,11.5,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.14,,,92.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2016-04-07,,,,82.0,,,,0.05746026,0.004268292,,10.7,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.12,,,95.0,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2016-05-02,,,,110.0,,,,0.1087086,0.00304878,,11.1,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.12,,,101.0,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2016-06-09,,,,120.0,,,,0.0232947,0.003963414,,10.5,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.13,,,117.0,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,164
