Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
MEX05577,2015-03-30,,,0.0005,,,46100.0,,,0.021,0.02,8.73,,36880.0,27.9,15.0,9.2,SISTEMA LAGUNAR AGIABAMPO 6,26.40326,-109.20165,North America,,0.095324,,,2.0529,0.0984,0.4,41.25,111.3,,,,0.133,0.01,5.0,3.0,0.005,0.5,1.0,216.0,0.5,0.001,0.005,28.0,2.0119,0.5,1.916576,0.01822,,,,,,,,661
MEX05577,2015-04-21,,,0.0005,,,51200.0,,,0.021,0.0217,8.2,,40960.0,27.6,8.5,7.8,SISTEMA LAGUNAR AGIABAMPO 6,26.40326,-109.20165,North America,,0.082286,,,2.503619,0.14901,0.5,29.0,104.0,,,,0.133,0.01,5.0,3.0,0.005,0.5,134.0,1.0,0.5,0.001,0.005,31.0,2.460919,0.5,2.378633,0.0153,,,,,,,,661
MEX05577,2015-06-02,,,0.0005,,,67600.0,,,0.021,0.056938,9.68,,54080.0,31.7,13.0,8.1,SISTEMA LAGUNAR AGIABAMPO 6,26.40326,-109.20165,North America,,0.106563,,,1.782007,0.116874,0.7,100.67,134.9,,,,0.074,0.01,15.0,3.0,0.005,0.5,1.0,203.0,0.5,0.001,0.005,38.0,1.704069,0.5,1.597506,0.034378,,,,,,,,661
MEX05577,2015-07-26,,,0.0005,,,71900.0,,,0.021,0.02,7.63,,57520.0,32.7,6.2,8.8,SISTEMA LAGUNAR AGIABAMPO 6,26.40326,-109.20165,North America,,0.030053,,,1.964265,0.127557,0.6,45.38,106.7,,,,0.062,0.01,15.0,3.0,0.005,0.5,10.0,107.0,0.5,0.001,0.005,40.0,1.923265,0.5,1.893212,0.010511,,,,,,,,661
MEX05577,2016-03-21,,,0.005688,,,48200.0,,,0.021,0.033101,7.9,,38560.0,30.9,28.0,9.1,SISTEMA LAGUNAR AGIABAMPO 6,26.40326,-109.20165,North America,,0.111258,,,2.716521,0.117531,0.2,137.14,106.0,,,,0.12947,0.01,20.0,3.0,0.005,0.5,1.0,471.0,0.5,0.001,0.005,29.0,2.66242,1.272,2.551162,,,,,,,,,661
MEX05577,2016-05-11,,,0.0078192,,,56300.0,,,0.021,0.02,9.9,,45040.0,29.1,11.0,9.3,SISTEMA LAGUNAR AGIABAMPO 6,26.40326,-109.20165,North America,,0.083461,,,2.910809,0.089316,0.5,38.0,128.8,,,,0.10353,0.01,10.0,3.0,0.005,0.5,1.0,228.0,0.5,0.001,0.005,30.0,2.869809,0.5,2.786348,0.009806,,,,,,,,661
MEX05577,2016-07-03,,,0.0005,,,74800.0,,,0.021,0.02,12.9,,59840.0,34.4,12.0,9.9,SISTEMA LAGUNAR AGIABAMPO 6,26.40326,-109.20165,North America,,0.048465,,,2.557413,0.121366,0.4,60.0,150.0,,,,0.10428,0.01,13.0,3.0,0.0097,0.5,10.0,368.0,0.5,0.0069,0.005,34.0,2.516413,0.5,2.467948,0.018258,,,,,,,,661
MEX05577,2016-08-22,,,0.0005,,,72800.0,,,0.021,0.02,7.8,,58240.0,33.1,5.8,8.7,SISTEMA LAGUNAR AGIABAMPO 6,26.40326,-109.20165,North America,,0.042948,,,3.455702,0.049626,0.7,15.5,107.7,,,,0.06765,0.01,8.0,3.0,0.005,0.5,1.0,410.0,0.5,0.001,0.005,34.0,3.414702,0.5,3.371754,0.018162,,,,,,,,661
MEX05577,2017-03-05,,,0.0005,,,42000.0,,,0.021,0.03504,12.2,,33600.0,27.4,7.5,8.4,SISTEMA LAGUNAR AGIABAMPO 6,26.40326,-109.20165,North America,,0.10674,,,2.63052,0.0923,0.3,25.0,149.9,,,,0.1315,0.01,50.0,3.0,0.005,0.5,1.0,256.0,0.72,0.001,0.005,30.0,2.57448,0.5,2.46774,0.0309,,,,,,,,661
MEX05577,2017-04-21,,,0.0021671,,,45600.0,,,0.021,0.02,11.2,,36480.0,29.5,6.3,8.6,SISTEMA LAGUNAR AGIABAMPO 6,26.40326,-109.20165,North America,,0.09672,,,2.24495,0.0516,0.5,18.5,147.6,,,,0.0929,0.01,13.0,3.0,0.005,0.5,10.0,1.0,0.5,0.001,0.005,30.0,2.20395,0.5,2.10723,0.007,,,,,,,,661
