Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
MEX05685,2015-01-22,,,0.0005,,,47434.1,,,0.021,0.02,6.05,,37947.28,29.6,2.5,8.4,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.025,,,0.086,0.053,0.8,30.0,65.2,,,,0.115,0.0145,10.0,3.0,0.005,6.077,1.0,3.0,0.5,0.001,0.005,31.5,0.045,18.943,0.02,0.026,,,,,,,,616
MEX05685,2015-05-20,,,0.00111,,,57705.0,,,0.021,0.102,5.85,,46164.0,30.7,5.02,8.3,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.05,,,1.232,0.007,1.0,36.0,67.0,,,,0.062,0.01,10.0,3.0,0.005,3.516,10.0,30.0,0.5,0.0184,0.005,33.2,1.109,6.625,1.059,0.007,,,,,,,,616
MEX05685,2015-07-30,,,0.00072,,,53146.0,,,0.021,0.02,2.15,,42516.8,32.4,2.5,8.4,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.092,,,0.388,0.752,0.5,22.0,27.0,,,,0.573,0.01,80.0,3.0,0.005,13.924,30.0,40.0,0.5,0.0027,0.005,33.9,0.347,14.199,0.255,0.085,,,,,,,,616
MEX05685,2015-09-17,,,0.00305,,,42188.0,,,0.021,0.038,3.56,,33750.4,31.8,4.41,7.48,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.105,,,0.516,0.634,0.9,38.0,43.0,,,,0.26,0.01,40.0,3.0,0.005,10.631,20.0,430.0,0.5,0.0045,0.005,33.4,0.457,11.273,0.352,0.064,,,,,,,,616
MEX05685,2016-03-02,,,0.00096,,,45913.0,,,0.021,0.08,4.2,,36730.4,30.1,8.93,8.2,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.02,,,0.433,1.538,0.7,36.0,48.0,,,,0.271,0.01,40.0,3.0,0.005,14.005,355.0,30.0,0.5,0.0072,0.005,31.5,0.332,14.953,0.312,0.102,,,,,,,,616
MEX05685,2016-04-14,,,0.0009,,,44316.0,,,0.021,0.047,4.0,,35452.8,31.2,5.28,8.2,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.121,,,0.598,2.439,0.8,29.0,46.0,,,,0.353,0.01,50.0,3.0,0.0054,14.357,10.0,30.0,0.5,0.011,0.005,35.3,0.53,15.111,0.409,0.031,,,,,,,,616
MEX05685,2016-06-01,,,0.00134,,,54597.0,,,0.021,0.02,4.0,,43677.6,29.8,6.05,8.2,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.02,,,0.081,0.405,0.9,57.0,44.0,,,,0.215,0.01,30.0,3.0,0.008,11.039,20.0,430.0,0.5,0.0184,0.005,35.9,0.04,12.414,0.02,0.066,,,,,,,,616
MEX05685,2016-07-13,,,0.00094,,,54565.0,,,0.021,0.128,4.6,,43652.0,28.6,4.82,8.2,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.092,,,0.357,0.193,0.6,41.0,52.0,,,,0.299,0.01,30.0,3.0,0.005,10.324,10.0,2100.0,0.5,0.01199,0.005,33.8,0.208,10.962,0.116,0.062,,,,,,,,616
MEX05685,2017-04-05,,,0.00112,,,33658.0,,,0.021,0.19,4.6,,26926.4,29.8,9.62,8.5,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.036,,,0.686,0.068,0.58,48.101,58.3,,,,0.275,0.01,60.0,3.0,0.005,14.274,41.0,30.0,0.5,0.01474,0.005,34.9,0.475,16.528,0.439,0.036,,,,,,,,616
MEX05685,2017-05-25,,,0.011817,,,44813.0,,,0.021,0.535,4.1,,35850.4,31.9,13.9,8.3,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.751,,,1.546,0.043,0.3,19.0,51.2,,,,0.367,0.01,60.0,3.0,0.0109,22.192,185.0,30.0,0.5,0.0091,0.005,32.3,0.99,22.993,0.239,0.034,,,,,,,,616
