Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
IND01349,2018-01-01,,,,,,238.0,,0.469,,,11.8,,,,,7.93,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,348
IND01349,2018-02-01,,,,,,195.0,,0.4,,,8.2,,,,,7.85,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,348
IND01349,2018-03-01,,,,,,210.0,,0.4,,,7.5,,,,,7.8,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,348
IND01349,2018-04-01,,,,,,240.0,,0.42,,,8.0,,,,,7.75,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,348
IND01349,2018-07-01,,,,,,240.0,,0.882,,,6.8,,,,,7.68,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,348
IND01349,2018-08-02,,,,,,230.0,,0.826,,,6.5,,,,,7.56,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,348
IND01349,2018-09-03,,,,,,225.0,,0.856,,,7.0,,,,,7.5,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,348
IND01349,2019-05-24,,,,,,297.0,,0.5,,,6.2,,,,,7.5,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,348
IND01349,2019-06-28,,,,,,297.0,,1.2,,,4.5,,,,,7.7,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,348
IND01349,2019-07-24,,,,,,150.0,,0.6,,,5.0,,,,,7.2,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,348
IND01349,2020-06-29,,,,,,106.0,,0.2,,,6.0,,,,,7.4,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,348
IND01349,2020-07-23,,,,,,211.0,,0.4,,,5.3,,,,,7.3,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,348
IND01349,2020-09-22,,,,,,255.0,,0.69,,,3.9,,,,,7.3,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,348
IND01349,2020-10-12,,,,,,281.0,,0.46,,,6.3,,,,,7.4,WULAR LAKE AT NINGLI NALLAH,34.320172,74.551314,India,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,348
