Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
MEX01354,2018-04-17,,,0.0816,,,1083.0,,,0.005,0.057,8.7,,693.12,20.7,110.1,9.5,LAKE OF PATZCUARO 9,19.67497,-101.61774,Mexico,,1.942,,,13.161,1.338,0.19,95.0,135.4,,,,0.243,0.003,30.0,0.64,0.0081,13.95,,30.0,0.9,0.0057,0.0029,25.7,13.099,14.49,11.157,0.713,,,,,,,,393
MEX01354,2018-06-19,,,0.0196,,,1148.0,,,0.005,0.038,6.5,,734.72,21.5,94.6,8.8,LAKE OF PATZCUARO 9,19.67497,-101.61774,Mexico,,1.931,,,6.787,1.032,0.23,27.0,97.9,,,,0.273,0.003,15.0,0.03,0.0037,14.54,,40.0,0.9,0.0009,0.00154,19.3,6.744,15.72,4.813,0.776,,,,,,,,393
MEX01354,2018-11-06,,,0.0017,,,989.0,,,0.008,0.043,4.2,,632.96,20.3,98.2,9.4,LAKE OF PATZCUARO 9,19.67497,-101.61774,Mexico,,3.698,,,7.352,0.774,0.25,44.0,57.7,,,,0.253,0.0041,40.0,0.02,0.0024,12.931,,90.0,0.5,0.0012,0.0005,26.2,7.301,14.81,3.603,0.426,,,,,,,,393
MEX01354,2019-03-05,,,0.0021,,,1047.0,,,0.068,0.136,8.1,,670.08,20.6,106.0,8.9,LAKE OF PATZCUARO 9,19.67497,-101.61774,Mexico,,0.832,,,1.981,1.178,0.18,23.0,114.2,,,,0.219,0.0032,30.0,14.08,0.0068,10.125,,40.0,0.7,0.0026,0.0009,26.3,1.777,12.235,0.945,0.424,,,,,,,,393
MEX01354,2020-09-29,,,0.0052,,,1057.0,,,0.021,0.033,5.0,,676.48,21.1,69.2,9.0,LAKE OF PATZCUARO 9,19.67497,-101.61774,Mexico,,2.044,,,3.595,0.535,0.23,22.0,91.4,,,,,0.01,30.0,3.0,0.005,14.021,,39.0,0.5,0.0021,0.005,22.7,3.541,14.782,1.497,0.529,,,,,,,,393
MEX01355,2018-04-17,,,0.1273,,,1089.0,,,0.009,0.066,8.3,,696.96,19.3,137.7,9.4,LAKE OF PATZCUARO 10,19.68046,-101.60502,Mexico,,1.94,,,12.604,1.407,0.18,100.0,126.1,,,,0.258,0.0029,30.0,0.67,0.0103,13.76,,30.0,1.1,0.0077,0.0031,24.7,12.529,15.14,10.589,0.862,,,,,,,,393
MEX01355,2018-06-19,,,0.0514,,,1146.0,,,0.005,0.05,6.6,,733.44,21.2,115.7,9.0,LAKE OF PATZCUARO 10,19.68046,-101.60502,Mexico,,1.898,,,6.418,0.97,0.18,39.0,100.6,,,,0.267,0.0029,15.0,0.03,0.0044,14.54,,30.0,1.0,0.0011,0.001,21.1,6.363,14.87,4.465,0.676,,,,,,,,393
MEX01355,2018-11-06,,,0.0053,,,990.0,,,0.005,0.039,6.5,,633.6,21.1,90.7,9.1,LAKE OF PATZCUARO 10,19.68046,-101.60502,Mexico,,3.787,,,7.611,0.566,0.21,40.0,96.2,,,,0.22,0.0045,20.0,0.02,0.0041,13.012,,90.0,0.7,0.0011,0.0005,27.3,7.567,14.515,3.78,0.47,,,,,,,,393
MEX01355,2019-03-05,,,0.0094,,,1046.0,,,0.072,0.144,7.9,,669.44,18.9,112.3,8.9,LAKE OF PATZCUARO 10,19.68046,-101.60502,Mexico,,0.737,,,1.423,0.959,0.18,30.0,111.0,,,,0.181,0.0029,20.0,0.02,0.0099,13.365,,40.0,1.1,0.0022,0.0007,24.5,1.207,14.556,0.47,0.225,,,,,,,,393
MEX01355,2020-09-29,,,0.00293,,,1052.0,,,0.024,0.033,7.1,,672.64,21.6,71.8,8.9,LAKE OF PATZCUARO 10,19.68046,-101.60502,Mexico,,1.923,,,4.727,0.539,0.23,26.0,108.7,,,,,0.01,20.0,3.0,0.005,13.891,,4.0,0.5,0.001,0.005,23.7,4.67,14.773,2.747,0.5,,,,,,,,393
MEX01356,2018-04-17,,,0.012,,,1086.0,,,0.006,0.166,8.1,,695.04,19.6,107.4,8.7,PATZCUARO LAKE NECK,19.63981,-101.60831,Mexico,,1.934,,,11.206,1.275,0.23,54.0,109.3,,,,0.225,0.0033,30.0,0.68,0.0173,13.79,,30.0,0.1,0.0092,0.0029,15.5,11.034,14.32,9.1,0.686,,,,,,,,393
MEX01356,2018-06-19,,,0.0137,,,1135.0,,,0.01,0.06,6.1,,726.4,21.1,99.3,8.3,PATZCUARO LAKE NECK,19.63981,-101.60831,Mexico,,1.918,,,8.434,0.984,0.23,48.0,87.4,,,,0.184,0.0024,15.0,0.05,0.0016,14.43,,90.0,0.5,0.0014,0.0007,17.5,8.364,14.71,6.446,0.64,,,,,,,,393
MEX01356,2018-11-07,,,0.0034,,,986.0,,,0.014,0.082,5.0,,631.04,19.2,87.2,9.4,PATZCUARO LAKE NECK,19.63981,-101.60831,Mexico,,3.004,,,7.03,0.71,0.19,15.0,68.2,,,,0.274,0.0047,30.0,0.06,0.0084,10.442,,30.0,0.7,0.0014,0.0052,20.8,6.934,11.478,3.93,0.5,,,,,,,,393
MEX01356,2019-03-05,,,0.0019,,,1039.0,,,0.091,0.181,6.6,,664.96,18.8,121.1,8.2,PATZCUARO LAKE NECK,19.63981,-101.60831,Mexico,,0.338,,,3.584,1.171,0.18,12.0,91.8,,,,0.243,0.0028,30.0,0.1,0.0069,13.59,,90.0,1.1,0.0033,0.0009,14.3,3.312,14.056,2.974,0.311,,,,,,,,393
MEX01356,2020-09-29,,,0.00387,,,1051.0,,,0.021,0.026,4.8,,672.0,21.3,69.1,9.0,PATZCUARO LAKE NECK,19.63981,-101.60831,Mexico,,0.02,,,2.475,1.216,0.23,38.0,87.5,,,,,0.01,20.0,3.0,0.0061,13.519,,93.0,0.5,0.0025,0.005,17.0,2.428,14.63,2.408,0.594,,,,,,,,393
MEX01357,2018-04-17,,,0.0109,,,1085.0,,,0.01,0.132,7.4,,694.4,19.5,125.8,9.3,LAKE OF PATZCUARO 5,19.6383,-101.58716,Mexico,,1.862,,,10.468,1.344,0.18,82.0,101.9,,,,0.247,0.003,15.0,0.71,0.019,14.49,,30.0,0.09,0.0097,0.0032,17.6,10.326,14.55,8.464,0.693,,,,,,,,393
MEX01357,2018-06-19,,,0.0383,,,1125.0,,,0.012,0.03,6.6,,720.0,21.1,127.2,8.9,LAKE OF PATZCUARO 5,19.6383,-101.58716,Mexico,,1.933,,,6.572,0.992,0.23,74.0,95.4,,,,0.292,0.0047,15.0,0.03,0.003,14.21,,230.0,0.7,0.0013,0.0011,18.6,6.53,16.17,4.597,0.642,,,,,,,,393
MEX01357,2018-11-07,,,0.0015,,,1017.0,,,0.007,0.093,5.1,,650.88,19.4,94.6,8.7,LAKE OF PATZCUARO 5,19.6383,-101.58716,Mexico,,2.998,,,6.468,1.109,0.19,15.0,69.5,,,,0.25,0.0066,30.0,0.16,0.0105,10.148,,390.0,0.8,0.0015,0.0011,17.1,6.368,12.104,3.37,0.664,,,,,,,,393
MEX01357,2019-03-05,,,0.0019,,,1043.0,,,0.082,0.164,6.4,,667.52,18.9,110.2,8.8,LAKE OF PATZCUARO 5,19.6383,-101.58716,Mexico,,1.208,,,2.487,1.28,0.18,17.0,88.7,,,,0.254,0.0029,40.0,0.23,0.0148,14.52,,70.0,0.8,0.0034,0.0012,17.4,2.241,14.575,1.033,0.353,,,,,,,,393
MEX01357,2020-09-29,,,0.00453,,,1055.0,,,0.021,0.02,6.5,,672.64,21.7,76.3,9.0,LAKE OF PATZCUARO 5,19.6383,-101.58716,Mexico,,0.02,,,3.25,1.129,0.23,40.0,96.0,,,,,0.01,20.0,3.0,0.0082,13.567,,93.0,0.5,0.0039,0.005,21.2,3.209,14.442,3.189,0.741,,,,,,,,393
MEX01358,2018-04-17,,,0.0614,,,1086.0,,,0.006,0.119,8.2,,695.04,19.7,123.7,9.3,PATZCUARO SENO QUIROGA,19.64727,-101.57868,Mexico,,1.841,,,11.238,1.367,0.18,80.0,109.5,,,,0.316,0.0034,30.0,0.57,0.0073,15.12,,30.0,0.5,0.0078,0.0031,19.0,11.113,16.1,9.272,0.756,,,,,,,,393
