Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
MEX05723,2018-03-06,,,0.0005,,,1784.0,,,0.021,0.033088,,,1141.76,26.8,4.6,7.0,M1 MANATI,21.2175,-86.82463800000001,Mexico,,7.068439,,,7.122527,0.2537,2.0,10.0,,,,,0.0944,0.0107,15.0,3.0,0.005,1.92,959.0,6131.0,0.5,0.001,0.005,28.0,7.068439,1.979,0.0,0.4034,,,,,,,,626
MEX05723,2018-04-26,,,0.000948,,,28800.0,,,0.021,0.02,1.1,,4112.0,28.8,6.2,6.9,M1 MANATI,21.2175,-86.82463800000001,Mexico,,6.993543,,,7.034543,0.2695,1.2,10.0,13.1,,,,0.0353,0.0212,13.0,3.0,0.005,3.85,1956.0,6488.0,0.5,0.0029,0.005,31.0,6.993543,4.508,0.0,0.2366,,,,,,,,626
MEX05723,2018-06-18,,,0.0005,,,20470.0,,,0.021,0.0229,1.9,,5496.0,29.2,2.9,6.2,M1 MANATI,21.2175,-86.82463800000001,Mexico,,6.165723,,,6.209623,0.2622,1.5,10.0,24.7,,,,0.094,0.01,13.0,3.0,0.005,4.1425,12997.0,24196.0,0.5,0.0025,0.005,32.0,6.165723,6.955,0.0,0.2622,,,,,,,,626
MEX05723,2018-12-11,,,0.0005,,,19300.0,,,0.021,0.037746,1.0,,,25.4,5.4,7.2,M1 MANATI,21.2175,-86.82463800000001,Mexico,,6.697878,,,6.756624,0.3015,1.9,10.0,10.0,,,,0.0752,0.01,10.0,3.0,0.005,3.662,41.0,4352.0,0.5,0.001,0.005,26.3,6.697878,7.25,0.0,0.3015,,,,,,,,626
MEX05724,2018-03-06,,,0.0005,,,34200.0,,,0.021,0.039652,,,27360.0,26.8,8.7,8.9,M2 MANATI,21.22639,-86.82000699999999,Mexico,,0.238539,,,3.649111,0.1939,0.3,25.0,,,,,0.0857,0.01,60.0,3.0,,8.852,10.0,1565.0,0.5,0.0117,0.005,29.0,3.588459,11.14,3.34992,0.0607,,,,,,,,626
MEX05724,2018-04-26,,,0.000948,,,23400.0,,,0.021,0.042201,8.2,,18720.0,30.8,13.0,6.8,M2 MANATI,21.22639,-86.82000699999999,Mexico,,0.411365,,,4.566946,0.1776,0.4,23.5,106.7,,,,0.03,0.0125,120.0,3.0,0.005,0.9991,10.0,663.0,0.5,0.0019,0.005,31.0,4.503745,2.387,4.09238,0.007,,,,,,,,626
MEX05724,2018-06-18,,,0.0005,,,23100.0,,,0.021,0.0413,5.3,,18480.0,29.5,7.3,6.8,M2 MANATI,21.22639,-86.82000699999999,Mexico,,0.320328,,,3.176578,0.1572,0.1,15.5,66.8,,,,0.1987,0.01,130.0,3.0,0.005,12.555,10.0,2143.0,0.5,0.001,0.005,31.0,3.114278,32.585,2.79395,0.0213,,,,,,,,626
MEX05724,2018-12-11,,,0.013035,,,23600.0,,,0.4168,0.107671,9.3,,18880.0,23.4,4.2,7.9,M2 MANATI,21.22639,-86.82000699999999,Mexico,,1.266434,,,3.689385,0.1707,0.55,15.0,106.7,,,,0.285,0.01,70.0,3.0,0.005,11.05,10.0,24196.0,0.5,0.001,0.005,25.9,3.164914,12.38,1.89848,0.0327,,,,,,,,626
MEX05725,2018-03-06,,,0.0032564,,,21170.0,,,0.021,0.280141,,,16936.0,27.6,7.7,8.2,M3 MANATI,21.22944,-86.825987,Mexico,,0.50793,,,4.214471,0.2111,0.2,20.5,,,,,0.094,0.01,60.0,3.0,0.0218,6.319,10.0,584.0,0.5,0.0118,0.005,29.0,3.91333,11.32,3.4054,0.0611,,,,,,,,626
MEX05725,2018-04-26,,,0.000948,,,22600.0,,,0.021,0.067331,10.1,,18080.0,30.9,8.1,6.8,M3 MANATI,21.22944,-86.825987,Mexico,,1.762883,,,4.972134,0.1987,0.3,10.0,132.4,,,,0.03,0.0133,100.0,3.0,0.005,7.123,10.0,933.0,0.5,0.0018,0.005,30.0,4.883803,21.02,3.12092,0.007,,,,,,,,626
