Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
NLD00056,2018-01-11,,,,83.5,,,,0.28031289,0.0090853644,0.35891706,12.3,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.18,,,95.0,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2018-02-08,,,,83.0,,,,0.2640066,0.0092073156,0.47629874,12.2,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.16,,,92.0,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2018-03-16,,,,91.3,,,,0.072524166,0.005945121,0.4853281,12.9,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.16,,,101.0,0.0991,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2018-04-04,,,,97.7,,,,0.029972514,0.0050914626,0.41309322,13.3,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.13,,,111.0,0.0741,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2018-05-16,,,,110.0,,,,0.13899171,0.005640243,0.2934542,8.1,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.15,,,87.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2018-06-11,,,,123.0,,,,0.061575657,0.0055792674,0.22234799,9.3,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.15,,,106.0,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2018-07-13,,,,131.0,,,,0.11724999,0.0062195112,0.165688756,8.1,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.13,,,93.0,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2018-08-07,,,,137.0,,,,0.050782446,0.00304878,0.00677202,15.4,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.25,,,175.0,0.0823,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2018-09-19,,,,135.0,,,,0.09162582,0.00304878,0.156659396,8.4,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.24,,,88.0,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2018-10-18,,,,134.0,,,,0.15141555,0.0043597554,0.25282208,8.8,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.21,,,88.0,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2018-12-10,,,,152.0,,,,0.11103807,0.0042073164,0.338601,11.7,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.2,,,96.0,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,164
NLD00056,2019-01-07,,,,145.0,,,,0.17703972,0.0053658528,0.41309322,12.2,,,,,,RO272,52.19971,4.65611,Europe,,,,,,0.16,,,96.0,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,164
