Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
URY00076,2018-01-02,,52.0,,,,139.0,,,,,,,,23.0,15.5,7.0,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,126.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-03,,52.0,,,,140.0,,,,,,,,23.0,16.5,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-04,,55.0,,,,141.0,,,,,,,,23.5,15.5,7.9,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-05,,59.0,,,,143.0,,,,,,,,25.0,15.1,7.85,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-08,,58.0,,,,142.0,,,,,,,,23.0,14.5,7.9,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-09,,53.0,,,,142.0,,,,,,,,24.0,14.3,7.7,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-10,,57.0,,,,143.0,,,,,,,,23.5,15.5,8.0,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-11,,56.0,,,,143.0,,,,,,,,24.0,16.0,8.0,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-12,,66.0,,,,142.0,,,,,,,,24.0,15.5,8.09,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-15,,62.0,,,,140.0,,,,,,,,24.0,14.1,8.0,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-16,,58.0,,,,142.0,,,,,,,,24.0,12.6,8.1,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-17,,56.0,,,,140.0,,,,,,,,24.0,13.6,8.0,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,103.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-18,,59.0,,,,139.0,,,,,,,,23.0,,7.9,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-19,,54.0,,,,140.0,,,,,,,,24.0,,7.9,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-22,,52.0,,,,139.0,,,,,,,,25.0,11.0,7.9,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-23,,57.0,,,,140.0,,,,,,,,25.0,9.7,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-24,,57.0,,,,140.0,,,,,,,,25.0,8.3,7.7,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-25,,52.0,,,,139.0,,,,,,,,23.5,10.7,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-26,,58.0,,,,146.0,,,,,,,,23.5,9.7,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-29,,63.0,,,,149.0,,,,,,,,22.5,8.6,7.9,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-30,,54.0,,,,140.0,,,,,,,,22.0,10.3,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-01-31,,54.0,,,,140.0,,,,,,,,24.0,10.0,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-01,,56.0,,,,141.0,,,,,,,,23.0,10.8,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-02,,54.0,,,,145.0,,,,,,,,24.5,10.1,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-05,,58.0,,,,159.0,,,,,,,,23.0,9.8,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-06,,55.0,,,,153.0,,,,,,,,23.5,10.6,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-07,,51.0,,,,142.0,,,,,,,,24.0,10.2,7.7,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-08,,57.0,,,,163.0,,,,,,,,24.0,10.3,7.7,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-09,,58.0,,,,144.0,,,,,,,,25.0,9.9,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-12,,60.0,,,,157.0,,,,,,,,21.5,13.3,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-13,,54.0,,,,143.0,,,,,,,,21.0,,7.7,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-14,,57.0,,,,143.0,,,,,,,,21.0,11.4,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-15,,55.0,,,,142.0,,,,,,,,21.0,11.6,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-16,,56.0,,,,146.0,,,,,,,,22.0,11.0,7.9,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-19,,60.0,,,,148.0,,,,,,,,23.5,11.3,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-20,,52.0,,,,164.0,,,,,,,,24.0,11.1,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-21,,54.0,,,,145.0,,,,,,,,24.0,10.5,7.9,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-22,,60.0,,,,142.0,,,,,,,,22.0,11.6,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-23,,58.0,,,,148.0,,,,,,,,22.0,,7.3,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-26,,58.0,,,,144.0,,,,,,,,22.0,12.3,7.9,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-27,,50.0,,,,146.0,,,,,,,,22.0,12.5,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-02-28,,53.0,,,,152.0,,,,,,,,21.0,13.2,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-03-01,,52.0,,,,153.0,,,,,,,,22.0,13.4,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-03-02,,59.0,,,,150.0,,,,,,,,24.9,12.9,7.7,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-03-05,,63.0,,,,149.0,,,,,,,,23.0,12.4,7.7,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-03-06,,54.0,,,,147.0,,,,,,,,23.0,12.3,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-03-07,,54.0,,,,149.0,,,,,,,,24.0,14.0,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-03-08,,57.0,,,,147.0,,,,,,,,22.0,12.6,7.9,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-03-09,,56.0,,,,149.0,,,,,,,,21.5,14.0,7.8,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-03-12,,58.0,,,,148.0,,,,,,,,21.0,14.3,8.0,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,678
URY00076,2018-03-13,,56.0,,,,152.0,,,,,,,,20.5,13.9,7.9,Toma de agua,-34.829733,-55.042069,South America,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,678
