Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
MEX05723,2015-03-17,,,0.0005,,,21656.0,,,0.021,0.0662,1.0,,17324.8,27.2,2.5,7.0,M1 MANATI,21.2175,-86.82463800000001,Mexico,,4.377604,,,4.600848,0.254137,1.3,10.0,10.0,,,,0.056,0.01,5.0,3.0,0.005,1.514,175.0,2755.0,0.5,0.001,0.005,29.8,4.513648,3.242,0.136044,0.1492,,,,,,,,626
MEX05723,2015-06-09,,,,,,30300.0,,,0.021,0.047071,1.06,,14712.0,26.9,3.0,7.2,M1 MANATI,21.2175,-86.82463800000001,Mexico,,5.171777,,,5.391243,0.372219,2.5,10.0,11.6,,,,0.062,0.01,13.0,3.0,0.005,6.086,31.0,1664.0,0.5,0.001,0.005,30.0,5.323172,6.927,0.151395,0.2958,,,,,,,,626
MEX05723,2015-08-20,,,0.0005,,,8220.0,,,0.021,0.02,1.0,,6576.0,26.8,2.5,7.0,M1 MANATI,21.2175,-86.82463800000001,Mexico,,3.349097,,,4.698818,0.31944,2.1,10.0,10.0,,,,0.05796,0.01,18.0,3.0,0.005,0.5,602.0,3873.0,0.5,0.001,0.005,31.0,4.657818,0.5,1.308721,0.2327,,,,,,,,626
MEX05723,2015-10-12,,,0.0151852,,,8627.0,,,0.103774,0.02,1.0,,6901.6,26.0,2.5,6.8,M1 MANATI,21.2175,-86.82463800000001,Mexico,,2.725703,,,4.282332,0.313034,1.0,10.0,10.0,,,,0.42795,0.01,180.0,3.0,0.005,0.5,11199.0,15531.0,0.5,0.001,0.005,27.0,4.158558,0.5,1.432855,0.124919,,,,,,,,626
MEX05723,2016-04-22,,,0.0073624,,,26166.0,,,0.021,0.02,1.0,,19280.0,27.0,2.5,7.0,M1 MANATI,21.2175,-86.82463800000001,Mexico,,4.566003,,,5.372764,0.403933,2.5,10.0,10.0,,,,0.04978,0.01,13.0,3.0,0.005,0.5,175.0,8164.0,0.5,0.0092,0.005,32.0,5.331764,0.5,0.765761,0.278596,,,,,,,,626
MEX05723,2016-06-14,,,0.0005,,,6810.0,,,0.021,0.02,1.0,,5448.0,28.0,8.1,7.0,M1 MANATI,21.2175,-86.82463800000001,Mexico,,7.331001,,,7.372001,0.284159,2.3,10.0,10.0,,,,0.07731,0.0139,13.0,3.0,0.005,0.5,2282.0,24196.0,0.5,0.001,0.005,32.0,7.331001,0.5,0.0,0.284159,,,,,,,,626
MEX05723,2016-07-27,,,0.0005,,,7143.0,,,0.021,0.02,1.0,,5714.4,28.0,2.5,7.1,M1 MANATI,21.2175,-86.82463800000001,Mexico,,7.189612,,,7.437654,0.428486,2.1,10.0,10.0,,,,0.05989,0.01,13.0,3.0,0.005,0.5,1624.0,24196.0,0.5,0.001,0.005,33.0,7.396654,0.5,0.207042,0.326638,,,,,,,,626
MEX05723,2016-10-14,,,0.0005,,,28600.0,,,0.021,0.02,1.0,,21600.0,27.8,2.5,7.3,M1 MANATI,21.2175,-86.82463800000001,Mexico,,8.511166,,,8.817955,0.394505,2.8,10.0,10.0,,,,0.12711,0.01,5.0,3.0,0.005,0.5,52.0,14136.0,0.5,0.001,0.005,32.0,8.776955,0.5,0.265789,0.394505,,,,,,,,626
MEX05723,2017-04-27,,,0.0005,,,9000.0,,,0.021,0.02,1.0,,7200.0,27.0,36.0,7.1,M1 MANATI,21.2175,-86.82463800000001,Mexico,,7.0278,,,7.85358,0.5707,1.83,10.0,20.5,,,,0.0782,0.01,15.0,3.0,0.005,0.5,15531.0,24196.0,0.5,0.001,0.005,30.0,7.81258,0.82,0.78478,0.346,,,,,,,,626
MEX05723,2017-07-23,,,0.0005,,,7500.0,,,0.021,0.02,,,6000.0,26.6,2.5,7.6,M1 MANATI,21.2175,-86.82463800000001,Mexico,,10.053261,,,10.094261,0.4523,1.22,10.0,,,,,0.0738,0.0199,8.0,3.0,0.005,0.5,155.0,6867.0,0.5,0.001,0.005,34.0,10.053261,0.5,0.0,0.4331,,,,,,,,626
MEX05723,2017-09-14,,,0.0049328,,,28450.0,,,0.021,0.15788,1.0,,22760.0,27.3,22.0,7.0,M1 MANATI,21.2175,-86.82463800000001,Mexico,,7.45359,,,7.69647,0.2648,1.4,10.0,10.0,,,,0.1353,0.01,50.0,3.0,0.005,0.5,1470.0,24196.0,0.5,0.0062,0.005,32.0,7.51759,0.5,0.064,0.0624,,,,,,,,626
