Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
NLD00237,2015-01-22,,,,120.0,,,,0.2407119,0.00609756,0.2934542,12.2,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.07,,,87.629854,,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2015-02-19,,,,120.0,,,,0.077649,0.00304878,0.16704316,12.7,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.08,,,96.158028,,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2015-03-19,,,,120.0,,,,0.3028311,0.00304878,0.11963902,12.1,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.1,,,102.919772,,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2015-04-24,,,,130.0,,,,0.0543543,0.00304878,0.05191882,9.7,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.03,,,92.738741,,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2015-05-21,,,,130.0,,,,0.0465894,0.00304878,0.04288946,11.6,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.02,,,114.455419,,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2015-06-11,,,,130.0,,,,0.0310596,0.00304878,0.00225734,10.1,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.06,,,104.212253,,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2015-07-23,,,,130.0,,,,0.0621192,0.00304878,0.00451468,8.5,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.03,,,92.996606,,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2015-08-18,,,,130.0,,,,0.4270695,0.00304878,0.0112867,6.4,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.1,,,66.299115,,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2015-09-29,,,,120.0,,,,0.6056622,0.01829268,0.03611744,6.2,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.26,,,61.037015,,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2015-10-21,,,,130.0,,,,0.7454304,0.00609756,0.05191882,5.4,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.27,,,47.462112,,,,,,,,,,,,,,,,,,,,,,,,,,,218
