Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
MEX02847,2015-05-29,,,0.2544,,,880.0,,,0.00777,0.004,6.01,,563.2,30.0,16.0,8.1,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.067297,,,0.785058,0.1639,0.3,20.0,72.4,,,,0.101,0.00139,25.0,0.2,0.00088,8.701,,1145.0,0.09,0.0002,0.00154,30.0,0.773288,12.49,0.705991,0.0505,,,,,,,,455
MEX02847,2015-10-21,,,0.0258,,,897.0,,,0.005,0.004,7.42,,574.08,29.5,17.0,7.6,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.032775,,,1.183985,0.048,0.4,32.31,97.2,,,,0.1226,0.00139,25.0,0.2,0.00088,5.223,,1664.0,0.09,0.0002,0.00154,30.9,1.174985,5.789,1.14221,0.037,,,,,,,,455
MEX02847,2016-04-14,,,0.0192,,,920.0,,,0.0015,0.0709,6.4,,588.8,25.9,27.0,8.2,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.1213,,,1.365,0.1538,0.1,47.06,79.3,,,,0.1388,0.00139,30.0,0.2,0.00088,6.315,,2481.0,0.09,0.0002,0.00154,25.0,1.2926,7.46,1.1713,0.1039,,,,,,,,455
MEX02847,2016-10-16,,,0.055,,,686.0,,,0.011,0.021,6.2,,439.04,28.0,36.0,7.5,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.056,,,0.477,0.111,0.3,19.0,82.4,,,,0.15,0.00139,15.0,0.2,0.00088,6.049,,19863.0,0.09,0.0002,0.00154,29.0,0.445,8.688,0.389,0.001,,,,,,,,455
MEX02847,2017-07-13,,,0.0143,,,876.0,,,0.005,0.004,10.8,,560.64,31.4,39.0,8.1,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.003,,,0.086,0.1521,0.23,42.0,147.2,,,,0.2715,0.00139,20.0,0.2,0.00088,5.308,,11000.0,0.09,0.00364,0.00154,31.6,0.077,7.686,0.074,0.0877,,,,,,,,455
MEX02847,2017-09-17,,,0.0247,,,506.0,,,0.005,0.004,6.6,,323.84,32.2,90.0,8.4,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.039,,,0.211,0.001,0.2,36.0,89.8,,,,0.1563,0.00139,13.0,0.2,0.00088,5.538,,24000.0,0.09,0.0002,0.00154,32.4,0.202,7.13,0.163,0.00306,,,,,,,,455
MEX02847,2018-02-04,,,,,,914.0,,,0.005,0.132,5.2,,584.96,21.0,100.0,7.6,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.111,,,0.85,0.0626,0.25,65.0,59.0,,,,0.206,0.00139,8.0,0.2,0.00088,7.052,,93.0,0.09,0.0002,0.00154,18.9,0.713,7.23,0.602,0.001,,,,,,,,455
MEX02847,2018-05-10,,,0.0001,,,1122.0,,,0.08,0.004,4.2,,718.08,26.8,70.0,8.1,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.162,,,0.383,0.0757,0.17,68.0,55.0,,,,0.1226,0.00139,8.0,0.2,0.01233,16.693,,11000.0,1.0,0.00257,0.00154,26.2,0.299,17.477,0.137,0.001,,,,,,,,455
MEX02847,2018-10-22,,,0.0081,,,795.0,,,0.005,0.004,3.6,,508.8,23.1,140.0,8.0,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.085,,,0.182,0.0202,0.27,42.0,47.0,,,,0.1955,0.00139,15.0,0.2,0.00955,5.702,,2100.0,0.09,0.00474,0.00154,22.6,0.173,5.975,0.088,0.001,,,,,,,,455
MEX02847,2019-02-11,,,0.0053,,,887.0,,,0.005,0.004,4.6,,567.68,21.0,65.0,8.3,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.045,,,0.198,0.144,0.22,46.0,49.0,,,,0.1499,0.00139,13.0,0.23,0.005476,6.958,,24000.0,0.09,0.0002,0.00154,20.5,0.189,8.394,0.144,0.001,,,,,,,,455
