Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
MEX05084,2015-03-06,,,0.00151,,,58674.0,,,0.021,0.153,5.68,,46939.2,28.3,25.4,8.1,LAGUNA TECOMATE 2,16.66816,-99.292,Mexico,,0.151,,,0.622,0.123,0.4,89.0,91.0,,,,0.039,0.01,5.0,3.0,0.005,,1.0,3.0,0.5,0.001,0.005,29.6,0.448,,0.297,0.103,,,,,,,,516
MEX05084,2015-04-09,,,0.00064,,,57892.0,,,0.021,0.02,4.54,,46313.6,29.2,20.9,7.8,LAGUNA TECOMATE 2,16.66816,-99.292,Mexico,,0.115,,,0.176,0.007,0.4,70.0,62.9,,,,0.179,0.01,30.0,3.0,0.0073,6.503,1.0,30.0,0.5,0.0215,0.0052,28.4,0.135,6.839,0.02,0.007,,,,,,,,516
MEX05084,2015-05-21,,,0.00116,,,63986.0,,,0.021,0.034,4.24,,51188.8,30.9,19.2,7.6,LAGUNA TECOMATE 2,16.66816,-99.292,Mexico,,0.067,,,0.729,0.034,0.5,53.0,69.1,,,,0.167,0.01,30.0,3.0,0.005,7.514,10.0,90.0,0.5,0.0136,0.005,31.6,0.674,7.869,0.607,0.007,,,,,,,,516
MEX05084,2015-07-03,,,0.00101,,,68790.0,,,0.021,0.02,4.27,,55032.0,30.9,29.2,8.1,LAGUNA TECOMATE 2,16.66816,-99.292,Mexico,,0.029,,,0.537,0.059,0.4,117.5,71.3,,,,0.244,0.01,40.0,3.0,0.005,7.033,10.0,30.0,0.5,0.0118,0.005,29.7,0.496,7.848,0.467,0.027,,,,,,,,516
MEX05084,2016-03-10,,,0.0005,,,65043.0,,,0.021,0.053,5.6,,52034.4,28.2,13.6,8.1,LAGUNA TECOMATE 2,16.66816,-99.292,Mexico,,0.324,,,,0.194,0.5,60.0,83.5,,,,0.282,0.01,40.0,3.0,0.005,20.063,20.0,30.0,0.5,0.001,0.005,30.3,,25.17,,0.191,,,,,,,,516
MEX05084,2016-05-05,,,0.0005,,,76413.0,,,0.021,0.028,5.6,,61130.4,31.4,22.5,8.3,LAGUNA TECOMATE 2,16.66816,-99.292,Mexico,,0.363,,,0.76,0.119,0.4,172.84,75.1,,,,0.302,0.01,40.0,3.7,0.0742,21.211,8164.0,30.0,0.5,0.0492,0.0167,32.3,0.711,22.455,0.348,0.115,,,,,,,,516
MEX05084,2016-07-04,,,0.0056,,,85155.0,,,0.021,0.139,,,68124.0,32.1,7.89,8.5,LAGUNA TECOMATE 2,16.66816,-99.292,Mexico,,0.26,,,0.8,0.24,0.4,103.0,,,,,0.319,0.01,20.0,3.0,0.0077,22.389,10.0,30.0,0.5,0.00577,0.005,33.6,0.64,23.136,0.38,0.15,,,,,,,,516
MEX05084,2016-08-11,,,0.0017,,,67752.0,,,0.04,0.162,5.8,,54201.6,32.3,7.57,8.2,LAGUNA TECOMATE 2,16.66816,-99.292,Mexico,,0.027,,,0.83,0.156,0.7,87.0,79.5,,,,0.453,0.01,70.0,3.0,0.00659,19.828,10.0,30.0,0.5,0.03851,0.0068,31.9,0.628,21.405,0.601,0.06,,,,,,,,516
MEX05084,2017-03-07,,,0.00301,,,64146.0,,,0.021,0.311,5.71,,51316.8,29.1,24.5,8.06,LAGUNA TECOMATE 2,16.66816,-99.292,Mexico,,0.02,,,1.296,0.168,0.4,51.0,74.0,,,,0.298,0.01,40.0,3.0,0.00542,16.909,197.0,150.0,0.5,0.01184,0.005,30.6,0.964,17.992,0.944,0.013,,,,,,,,516
MEX05084,2017-04-20,,,0.0069,,,52880.0,,,0.021,0.436,5.0,,42304.0,30.5,24.5,8.39,LAGUNA TECOMATE 2,16.66816,-99.292,Mexico,,0.221,,,1.695,0.07,0.45,167.143,68.0,,,,0.359,0.01,40.0,3.0,0.005,20.237,10.0,30.0,0.5,0.00829,0.005,29.7,1.238,21.159,1.017,0.007,,,,,,,,516
