Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
NLD00237,2018-01-10,,,,120.0,,,,0.543543,0.00609756,0.4063212,10.7,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.36,,,81.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2018-02-05,,,,200.0,,,,0.7299006,0.00914634,0.3837478,8.5,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.39,,,64.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2018-03-08,,,,320.0,,,,0.0232947,0.00304878,0.22121932,18.5,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.42,,,143.0,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2018-03-15,,,,270.0,,,,0.2950662,0.00609756,0.2483074,15.1,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.47,,,124.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2018-04-04,,,,160.0,,,,0.3727152,0.02134146,0.790069,10.7,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.44,,,95.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2018-05-03,,,,180.0,,,,0.2640066,0.02134146,0.7223488,9.5,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.44,,,88.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2018-05-23,,,,130.0,,,,0.0388245,0.00304878,0.05417616,7.7,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.08,,,82.0,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2018-06-07,,,,130.0,,,,0.0310596,0.00304878,0.0112867,7.8,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.08,,,89.0,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2018-07-05,,,,140.0,,,,0.0543543,0.00304878,0.0112867,6.5,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.04,,,73.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2018-07-18,,,,140.0,,,,0.0232947,0.00304878,0.0112867,9.0,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.05,,,105.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2018-08-03,,,,150.0,,,,0.0621192,0.00304878,0.0112867,9.3,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.05,,,109.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2018-09-05,,,,150.0,,,,0.0621192,0.00304878,0.0112867,7.0,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.06,,,77.0,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,218
NLD00237,2018-09-12,,,,170.0,,,,0.1164735,0.00609756,0.0564335,7.7,,,,,,WATERDELEN SCHERMERBOEZEM ZUID,52.6017,5.0115,Europe,,,,,,0.18,,,81.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,218
