Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
MEX05685,2018-01-09,,,0.024661,,,15591.0,,,0.021,0.038,5.1,,12472.8,30.6,10.4,8.2,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.42,,,1.039,0.237,0.25,35.443,61.4,,,,0.245,0.01,60.0,3.0,0.02753,25.388,20.0,30.0,0.5,0.01403,0.005,33.7,0.98,33.594,0.56,0.137,,,,,,,,616
MEX05685,2018-03-01,,,0.002296,,,17412.0,,,0.021,0.158,5.3,,13929.6,30.9,14.6,8.5,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,2.133,,,3.102,0.32,0.48,76.923,53.9,,,,0.276,0.01,50.0,3.0,0.0114,10.943,6586.0,30.0,0.5,0.00613,0.005,34.7,2.923,15.4,0.79,0.034,,,,,,,,616
MEX05685,2018-04-18,,,0.00165,,,36220.0,,,0.021,0.02,4.9,,28976.0,31.9,12.8,8.8,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.364,,,0.68,0.239,0.2,100.0,49.4,,,,0.349,0.01,60.0,3.0,0.02187,29.582,10.0,30.0,0.5,0.00471,0.005,34.4,0.639,44.766,0.275,0.019,,,,,,,,616
MEX05685,2018-11-13,,,0.004564,,,17585.0,,,0.021,0.02,5.1,,14068.0,33.4,3.1,8.5,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.205,,,0.543,0.208,0.49,10.0,52.6,,,,0.124,0.01,40.0,3.0,0.01367,11.905,10.0,40.0,0.5,0.00414,0.005,34.7,0.502,13.09,0.297,0.094,,,,,,,,616
MEX05685,2021-09-28,,,0.007748,,,5470.0,,,0.021,0.02,5.07,,4376.0,29.0,2.7,7.4,BOCA BARRA LAGUNA PASTORIA,15.96973,-97.53949,Mexico,,0.066,,,2.319,0.263,0.56,10.0,60.2,,,,,0.01,,3.0,,13.309,259.0,,0.5,0.00802,0.005,31.0,2.278,13.348,2.212,0.217,,,,,,,,616
MEX05686,2018-01-09,,,0.002355,,,15571.0,,,0.021,0.102,5.6,,12456.8,29.9,22.2,8.3,LAGUNA PASTORIA,15.9857,-97.57188,Mexico,,0.027,,,0.251,0.171,0.34,90.385,61.2,,,,0.152,0.01,150.0,3.0,0.05386,27.162,10.0,30.0,0.5,0.00974,0.005,33.4,0.128,58.155,0.101,0.15,,,,,,,,616
MEX05686,2018-03-01,,,0.004164,,,16356.0,,,0.021,0.273,4.8,,12970.4,29.9,15.6,8.5,LAGUNA PASTORIA,15.9857,-97.57188,Mexico,,1.637,,,2.45,0.312,0.45,101.887,48.8,,,,0.261,0.01,60.0,3.0,0.03225,12.318,10.0,30.0,0.5,0.00461,0.005,34.1,2.156,18.603,0.519,0.033,,,,,,,,616
MEX05686,2018-04-18,,,0.001683,,,37130.0,,,0.021,0.069,5.1,,29680.8,31.5,13.1,9.0,LAGUNA PASTORIA,15.9857,-97.57188,Mexico,,0.263,,,0.495,0.186,0.16,192.857,48.7,,,,0.357,0.01,30.0,3.0,0.03831,35.148,10.0,30.0,0.5,0.00421,0.005,33.6,0.405,52.11,0.142,0.056,,,,,,,,616
MEX05686,2018-11-13,,,0.003241,,,17402.0,,,0.021,0.02,5.6,,13913.6,31.1,3.72,8.8,LAGUNA PASTORIA,15.9857,-97.57188,Mexico,,0.316,,,0.82,0.262,0.96,16.0,57.9,,,,0.146,0.01,40.0,3.0,0.01036,11.863,121.0,40.0,0.5,0.00549,0.005,34.2,0.779,12.251,0.463,0.12,,,,,,,,616
MEX05686,2021-09-28,,,0.020114,,,16561.0,,,0.021,0.038,4.99,,13248.8,31.0,3.4,8.2,LAGUNA PASTORIA,15.9857,-97.57188,Mexico,,0.151,,,2.606,0.097,0.56,12.0,59.5,,,,,0.01,,3.0,,10.92,10.0,,0.5,0.02323,0.005,32.0,2.547,11.005,2.396,0.08,,,,,,,,616
