Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
JPN00019,2018-01-10,,,,,,,,,,,10.3,,,9.1,,7.6,Lake Biwa - North Center,35.3916666666667,136.135277777778,Asia,9.4,0.01,1.9,,0.26,0.006,6.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
JPN00019,2018-02-05,,,,,,,,,,,10.7,,,7.8,,7.5,Lake Biwa - North Center,35.3916666666667,136.135277777778,Asia,9.6,0.01,1.7,,0.26,0.008,7.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
JPN00019,2018-03-05,,,,,,,,,,,11.6,,,7.6,,7.7,Lake Biwa - North Center,35.3916666666667,136.135277777778,Asia,9.5,0.01,1.3,,0.27,0.005,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
JPN00019,2018-04-09,,,,,,,,,,,11.8,,,9.8,,7.9,Lake Biwa - North Center,35.3916666666667,136.135277777778,Asia,9.6,0.01,1.3,,0.26,0.006,7.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
JPN00019,2018-05-07,,,,,,,,,,,11.3,,,14.5,,8.1,Lake Biwa - North Center,35.3916666666667,136.135277777778,Asia,9.4,0.01,1.4,,0.24,0.004,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
JPN00019,2018-06-06,,,,,,,,,,,10.4,,,21.4,,8.6,Lake Biwa - North Center,35.3916666666667,136.135277777778,Asia,9.2,0.01,1.5,,0.21,0.005,7.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
JPN00019,2018-07-02,,,,,,,,,,,9.6,,,24.4,,9.2,Lake Biwa - North Center,35.3916666666667,136.135277777778,Asia,9.5,0.01,1.5,,0.14,0.004,6.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
JPN00019,2018-08-06,,,,,,,,,,,8.1,,,29.4,,8.6,Lake Biwa - North Center,35.3916666666667,136.135277777778,Asia,8.8,0.01,2.2,,0.14,0.005,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
JPN00019,2018-09-06,,,,,,,,,,,8.1,,,23.9,,7.9,Lake Biwa - North Center,35.3916666666667,136.135277777778,Asia,9.2,0.01,1.8,,0.18,0.004,4.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
JPN00019,2018-10-02,,,,,,,,,,,8.4,,,20.9,,7.9,Lake Biwa - North Center,35.3916666666667,136.135277777778,Asia,8.8,0.01,1.2,,0.19,0.007,5.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
JPN00019,2018-11-05,,,,,,,,,,,9.8,,,18.5,,8.3,Lake Biwa - North Center,35.3916666666667,136.135277777778,Asia,9.0,0.01,1.1,,0.18,0.006,5.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
JPN00019,2018-12-03,,,,,,,,,,,9.3,,,15.2,,7.9,Lake Biwa - North Center,35.3916666666667,136.135277777778,Asia,9.0,0.01,1.4,,0.19,0.006,7.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
