Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
JPN00020,2018-01-11,,,,,,,,,,,11.9,,,6.3,,7.5,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.8,0.01,1.3,,0.28,0.016,1.8,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2018-02-06,,,,,,,,,,,12.2,,,5.2,,7.5,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.0,0.01,1.5,,0.28,0.014,1.8,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2018-03-06,,,,,,,,,,,11.3,,,9.1,,7.7,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.1,0.01,1.2,,0.28,0.016,2.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2018-04-10,,,,,,,,,,,11.3,,,13.5,,8.0,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.5,0.01,1.8,,0.22,0.01,3.2,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2018-05-08,,,,,,,,,,,9.9,,,17.8,,7.9,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.3,0.01,1.9,,0.26,0.017,2.3,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2018-06-05,,,,,,,,,,,10.2,,,23.5,,8.8,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.1,0.01,0.8,,0.2,0.01,3.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2018-07-03,,,,,,,,,,,8.8,,,26.3,,8.7,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.6,0.01,1.5,,0.22,0.012,3.4,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2018-08-07,,,,,,,,,,,10.4,,,30.6,,9.6,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.7,0.01,4.2,,1.06,0.032,1.0,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2018-09-03,,,,,,,,,,,9.7,,,27.4,,9.4,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.8,0.01,3.3,,0.47,0.052,0.8,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2018-10-03,,,,,,,,,,,9.2,,,21.8,,8.1,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,8.9,0.01,1.5,,0.2,0.015,1.8,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2018-11-06,,,,,,,,,,,9.5,,,16.7,,7.9,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.5,0.01,2.2,,0.19,0.01,2.9,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2018-12-04,,,,,,,,,,,10.7,,,15.0,,7.9,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.0,0.01,2.1,,0.2,0.01,2.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2019-01-08,,,,,,,,,,,11.4,,,6.8,,7.6,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.1,0.01,2.4,,0.24,0.014,2.9,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2019-02-04,,,,,,,,,,,11.0,,,6.9,,7.6,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.3,0.02,2.4,,0.27,0.011,2.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2019-03-05,,,,,,,,,,,10.8,,,9.2,,7.6,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,11.2,0.01,2.8,,0.36,0.008,4.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2019-04-09,,,,,,,,,,,10.8,,,12.8,,7.8,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.4,0.02,2.2,,0.23,0.008,4.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2019-05-07,,,,,,,,,,,10.4,,,18.1,,8.1,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.5,0.01,2.1,,0.28,0.018,2.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2019-06-04,,,,,,,,,,,10.0,,,22.1,,8.1,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.2,0.01,1.8,,0.18,0.009,3.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2019-07-02,,,,,,,,,,,8.1,,,25.0,,7.7,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.7,0.01,2.6,,0.18,0.01,2.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2019-08-06,,,,,,,,,,,7.7,,,30.2,,8.3,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.5,0.01,3.1,,0.19,0.011,3.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2019-09-03,,,,,,,,,,,8.4,,,26.9,,7.9,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.0,0.01,2.8,,0.18,0.008,3.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2019-10-08,,,,,,,,,,,8.4,,,23.8,,7.9,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.4,0.01,1.5,,0.18,0.01,3.7,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2019-11-06,,,,,,,,,,,9.8,,,17.5,,8.0,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.2,0.01,0.5,,0.22,0.011,2.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2019-12-02,,,,,,,,,,,10.1,,,12.6,,7.6,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.6,0.01,0.9,,0.2,0.011,2.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2020-01-07,,,,,,,,,,,11.1,,,8.6,,7.5,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.9,0.02,1.8,,0.3,0.015,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2020-02-04,,,,,,,,,,,11.5,,,7.8,,7.6,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.1,0.01,2.6,,0.31,0.016,2.1,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2020-03-03,,,,,,,,,,,11.3,,,9.7,,7.7,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.4,0.01,1.7,,0.21,0.007,2.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2020-04-06,,,,,,,,,,,10.9,,,12.7,,7.9,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.2,0.01,2.1,,0.24,0.017,2.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2020-05-12,,,,,,,,,,,9.5,,,19.9,,8.0,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,10.0,0.01,1.5,,0.23,0.018,2.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
JPN00020,2020-06-09,,,,,,,,,,,9.7,,,24.4,,9.1,Lake Biwa - South Center,35.0411111111111,135.896111111111,Asia,9.6,0.01,1.4,,0.23,0.013,3.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
