Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
MEX02847,2018-02-04,,,,,,914.0,,,0.005,0.132,5.2,,584.96,21.0,100.0,7.6,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.111,,,0.85,0.0626,0.25,65.0,59.0,,,,0.206,0.00139,8.0,0.2,0.00088,7.052,,93.0,0.09,0.0002,0.00154,18.9,0.713,7.23,0.602,0.001,,,,,,,,455
MEX02847,2018-05-10,,,0.0001,,,1122.0,,,0.08,0.004,4.2,,718.08,26.8,70.0,8.1,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.162,,,0.383,0.0757,0.17,68.0,55.0,,,,0.1226,0.00139,8.0,0.2,0.01233,16.693,,11000.0,1.0,0.00257,0.00154,26.2,0.299,17.477,0.137,0.001,,,,,,,,455
MEX02847,2018-10-22,,,0.0081,,,795.0,,,0.005,0.004,3.6,,508.8,23.1,140.0,8.0,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.085,,,0.182,0.0202,0.27,42.0,47.0,,,,0.1955,0.00139,15.0,0.2,0.00955,5.702,,2100.0,0.09,0.00474,0.00154,22.6,0.173,5.975,0.088,0.001,,,,,,,,455
MEX02847,2019-02-11,,,0.0053,,,887.0,,,0.005,0.004,4.6,,567.68,21.0,65.0,8.3,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.045,,,0.198,0.144,0.22,46.0,49.0,,,,0.1499,0.00139,13.0,0.23,0.005476,6.958,,24000.0,0.09,0.0002,0.00154,20.5,0.189,8.394,0.144,0.001,,,,,,,,455
MEX02847,2020-07-30,,,0.010801,,,996.0,,,0.021,0.02,3.9,,637.44,29.3,50.0,7.8,LA HERRADURA LAGOON,22.26665,-97.8827,Mexico,,0.169,,,0.505,0.1059,0.25,57.0,42.0,,,,,0.01,10.0,3.0,0.010231,14.988,,2400.0,0.5,0.003521,0.005,29.0,0.464,15.196,0.295,0.0695,,,,,,,,455
MEX02848,2018-02-04,,,,,,878.0,,,0.005,0.104,5.6,,561.92,20.9,31.0,7.9,"LAGUNA DEL CHAIREL, BOCATOMA COMAPA TAMPICO",22.23844,-97.8764,Mexico,,0.096,,,0.452,0.001,0.34,18.0,64.0,,,,0.1732,0.00139,8.0,0.2,0.00088,6.162,,460.0,0.09,0.0002,0.00154,24.2,0.343,6.225,0.247,0.001,,,,,,,,455
MEX02848,2018-05-10,,,0.0001,,,1225.0,,,0.07,0.085,4.8,,784.0,28.2,33.0,8.0,"LAGUNA DEL CHAIREL, BOCATOMA COMAPA TAMPICO",22.23844,-97.8764,Mexico,,0.368,,,0.766,0.0189,0.26,22.0,63.0,,,,0.1189,0.00139,5.0,0.2,0.01357,13.69,,4600.0,0.7,0.00248,0.00154,27.1,0.611,16.318,0.243,0.001,,,,,,,,455
MEX02848,2018-10-22,,,0.0027,,,714.0,,,0.005,0.004,4.5,,456.96,20.0,100.0,7.6,"LAGUNA DEL CHAIREL, BOCATOMA COMAPA TAMPICO",22.23844,-97.8764,Mexico,,0.044,,,0.185,0.0152,0.24,28.0,61.0,,,,0.1938,0.00139,20.0,0.2,0.03593,4.969,,1200.0,0.09,0.00449,0.00154,23.6,0.176,4.974,0.132,0.001,,,,,,,,455
MEX02848,2019-02-11,,,0.0043,,,877.0,,,0.005,0.004,4.9,,561.28,23.0,33.0,8.3,"LAGUNA DEL CHAIREL, BOCATOMA COMAPA TAMPICO",22.23844,-97.8764,Mexico,,0.003,,,0.185,0.1195,0.32,18.0,58.0,,,,0.1259,0.00139,13.0,0.23,0.008679,6.371,,11000.0,0.09,0.0002,0.00154,23.8,0.176,8.056,0.173,0.001,,,,,,,,455
MEX02848,2020-07-30,,,0.007956,,,854.0,,,0.034,0.042,3.5,,546.56,28.0,21.0,8.4,"LAGUNA DEL CHAIREL, BOCATOMA COMAPA TAMPICO",22.23844,-97.8764,Mexico,,0.291,,,0.585,0.0889,0.29,18.0,42.0,,,,,0.01,7.5,3.0,0.010248,11.517,,2400.0,0.5,0.002026,0.005,29.0,0.509,12.911,0.218,0.007,,,,,,,,455
