Station,Date,Time,A340,As-Tot,COL-True,Cd-Tot,Chl-a,Cr-Tot,DOC,EC,ENTCOCC,FECALCOLI,Hg-Tot,NH3N,NO2N,NO3N,Ni-Tot,O2-Dis,O2-Dis-Sat,Pb-Tot,TDS,TEMP,TEMP-Air,TKN,TN,TOC,TON,TP,TRANS,TRP,TSS,TURB,pH,Station Identifier,Latitude,Longitude
MEX03452,2017-03-24,,0.08629,0.00139,5.0,0.2,0.0012,0.00088,0.168,1609.0,,150.0,0.073,0.106789,0.005121,0.096413,0.0002,7.1,75.7,0.00154,1029.76,23.5,20.1,0.778321,0.879855,0.252,0.671532,0.071258,0.8,0.031714,10.0,4.0,7.3,REMANANT WETLAND SYSTEM OF THE COLORADO RIVER DELT,32.677025,-114.770332
MEX03452,2017-09-06,,0.09833,0.00139,3.0,0.2,0.0001,0.00088,0.178,1431.0,,430.0,0.09,0.440087,0.173386,0.996315,0.0002,5.8,68.7,0.00154,915.84,32.8,33.0,0.586017,1.755718,0.415,0.14593,0.12686,0.45,0.198646,16.0,9.3,7.7,REMANANT WETLAND SYSTEM OF THE COLORADO RIVER DELT,32.677025,-114.770332
MEX03452,2018-02-20,,0.07828,0.00139,5.0,0.2,0.0001,0.00088,2.171,1334.0,,1500.0,0.09,0.532331,0.012265,0.454075,0.0002,9.7,96.1,0.00154,853.76,16.7,16.6,0.532331,0.998671,2.214,0.0,0.045967,1.0,0.08355,10.0,3.8,7.0,REMANANT WETLAND SYSTEM OF THE COLORADO RIVER DELT,32.677025,-114.770332
MEX03452,2018-08-07,,0.05989,0.00139,10.0,0.2,0.0076,0.00088,4.112,1742.0,,90.0,0.09,0.005352,0.004321,0.026481,0.0002,8.2,92.3,0.00154,1114.88,33.0,40.0,0.550152,0.580954,5.092,0.5448,0.090253,0.45,0.03649,10.0,3.4,8.5,REMANANT WETLAND SYSTEM OF THE COLORADO RIVER DELT,32.677025,-114.770332
MEX03452,2018-12-20,,0.08157,0.00139,3.0,0.2,0.0001,0.0042,2.743,1270.0,,230.0,0.09,0.103522,0.018467,0.314097,0.0002,9.2,89.4,0.00154,812.8,13.9,24.2,0.754362,1.086926,2.776,0.65084,0.042553,1.45,0.015916,11.0,3.3,8.2,REMANANT WETLAND SYSTEM OF THE COLORADO RIVER DELT,32.677025,-114.770332
MEX03452,2019-02-07,,0.0797,0.00139,10.0,0.23,0.0001,0.0017,2.6,1642.0,,90.0,0.031,0.324598,0.022277,0.167114,0.0002,7.2,82.7,0.00154,1050.88,16.9,21.0,0.494278,0.683669,3.029,0.16968,0.070886,0.75,0.033144,10.0,3.3,8.4,REMANANT WETLAND SYSTEM OF THE COLORADO RIVER DELT,32.677025,-114.770332
MEX03457,2015-04-10,,0.081,0.00139,15.0,0.2,0.0319,0.00088,1.55,3065.0,,460.0,0.115,0.1449,0.0012,0.0853,0.0138,,15.4,0.00154,1961.6,18.5,21.5,0.7179,0.8044,3.51,0.573,0.0839,0.5,0.0281,15.0,18.0,8.3,WETLANDS ARROYO LA MISION 2,32.095452,-116.850001
MEX03457,2015-08-12,,0.128,0.00139,5.0,0.2,0.0001,0.00088,0.63,3180.0,,30.0,0.054,0.1492,0.0029,0.0305,0.0002,9.07,112.6,0.00154,2035.2,25.3,30.1,0.9122,0.9456,0.76,0.763,0.1258,0.5,0.0224,27.5,26.0,7.6,WETLANDS ARROYO LA MISION 2,32.095452,-116.850001
MEX03457,2016-03-17,,0.11029,0.00139,3.0,0.2,0.0084,0.0347,0.733,2270.0,,30.0,0.09,0.262855,0.007321,0.133771,0.0128,3.5,46.7,0.00154,1452.8,19.5,26.7,1.088798,1.22989,0.8887,0.825943,0.059898,0.3,0.001,15.5,8.0,7.6,WETLANDS ARROYO LA MISION 2,32.095452,-116.850001
MEX03457,2016-09-08,,0.11048,0.00139,10.0,0.2,0.0163,0.00088,0.213,2980.0,,230.0,0.09,0.438734,0.002543,0.047819,0.0002,5.8,76.8,0.00154,1907.2,22.8,30.4,1.151449,1.201811,0.2344,0.712715,0.042822,0.3,0.007478,34.67,49.0,7.1,WETLANDS ARROYO LA MISION 2,32.095452,-116.850001
MEX03458,2017-03-23,,0.26013,0.00139,50.0,0.2,0.0003,0.00088,1.154,5030.0,,30.0,0.115,0.678465,0.00325,0.031332,0.0002,2.9,33.7,0.00154,4024.0,23.7,27.3,2.553293,2.587875,1.154,1.874828,0.138206,0.8,0.02655,10.0,12.0,7.0,DELTA RÍO COLORADO REMAINING WETLAND SYSTEM 15,32.158742,-115.300952
MEX03458,2017-09-05,,0.52371,0.01405,40.0,0.2,0.0001,0.00088,1.098,14360.0,,30.0,0.09,0.338358,0.040758,0.102758,0.0023,,,0.00154,11488.0,35.6,38.0,4.768658,4.912174,1.118,4.4303,0.239694,0.25,0.008133,33.0,18.0,8.6,DELTA RÍO COLORADO REMAINING WETLAND SYSTEM 15,32.158742,-115.300952
