Site_name,Country,Country_code,Latitude,Longitude,Date_Time_UTC,Water_body_type,Water_type,Depth,Chla,TSS,Turbidity,Secchi_depth,Date,Time
Lake Erie,United States of America (the),US,41.7054,-83.3862,2020-07-20 13:36:00,1,4,3.14,47.71,10.07,9.2,1.0,2020-07-20,13:36:00
Lake Erie,United States of America (the),US,41.8334,-83.3613,2020-07-20 11:58:00,1,4,5.29,10.54,3.56,2.38,2.8,2020-07-20,11:58:00
Lake Erie,United States of America (the),US,41.7045,-83.2566,2020-07-20 13:05:00,1,4,6.9,12.61,6.16,3.36,1.5,2020-07-20,13:05:00
Lake Erie,United States of America (the),US,41.7622,-83.3312,2020-07-28 15:45:00,1,4,5.62,28.47,7.93,8.46,1.3,2020-07-28,15:45:00
Lake Erie,United States of America (the),US,41.8274,-83.1956,2020-07-28 12:45:00,1,4,8.84,16.77,4.6,3.73,2.0,2020-07-28,12:45:00
Lake Erie,United States of America (the),US,41.8339,-83.3597,2020-07-28 12:07:00,1,4,5.53,14.3,4.27,4.21,2.5,2020-07-28,12:07:00
Lake Erie,United States of America (the),US,41.6585,-83.1463,2020-07-28 13:51:00,1,4,6.34,4.64,2.2,2.04,2.5,2020-07-28,13:51:00
Lake Erie,United States of America (the),US,41.7614,-83.3329,2020-08-10 15:40:00,1,4,5.27,20.48,8.24,6.15,1.0,2020-08-10,15:40:00
Lake Erie,United States of America (the),US,41.8335,-83.3609,2020-08-10 12:03:00,1,4,5.26,15.67,7.38,5.2,1.0,2020-08-10,12:03:00
Lake Erie,United States of America (the),US,41.7175,-83.4244,2020-08-10 15:14:00,1,4,2.83,45.11,14.45,12.2,0.5,2020-08-10,15:14:00
Lake Erie,United States of America (the),US,41.6578,-83.1458,2020-08-10 13:48:00,1,4,6.18,14.5,10.43,5.82,2.5,2020-08-10,13:48:00
Lake Erie,United States of America (the),US,41.7618,-83.331,2020-08-24 15:30:00,1,4,5.44,12.92,7.3,5.98,1.0,2020-08-24,15:30:00
Lake Erie,United States of America (the),US,41.826,-83.1951,2020-08-24 12:44:00,1,4,8.63,12.79,2.99,2.6,2.0,2020-08-24,12:44:00
Lake Erie,United States of America (the),US,41.8342,-83.3604,2020-08-24 12:03:00,1,4,5.1,43.53,16.0,11.1,1.0,2020-08-24,12:03:00
Lake Erie,United States of America (the),US,41.7176,-83.4244,2020-08-24 15:04:00,1,4,2.73,96.43,,23.2,0.5,2020-08-24,15:04:00
Lake Erie,United States of America (the),US,41.7031,-83.2557,2020-08-24 14:15:00,1,4,6.82,11.47,5.92,4.81,1.5,2020-08-24,14:15:00
Lake Erie,United States of America (the),US,41.7432,-83.1378,2020-08-24 13:15:00,1,4,9.11,12.49,2.96,2.48,1.5,2020-08-24,13:15:00
Lake Erie,United States of America (the),US,41.6591,-83.1461,2020-08-24 13:45:00,1,4,6.19,14.22,5.81,4.31,1.0,2020-08-24,13:45:00
Lake Erie,United States of America (the),US,41.8278,-83.1954,2020-09-21 12:55:00,1,4,8.62,0.77,5.44,2.08,1.5,2020-09-21,12:55:00
