Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
IND00124,2020-01-09,,,,,,283.0,,,,,9.0,,,,,7.8,BEAS AT D/S DEHRAGOPIPUR,31.8781,76.2033,India,,,,,,,,,,,0.2,41.0,,,,,,,,,,,,,,,,,,,,,,,,0.007499999832361937,0.0071000000461936,0.05790000036358833,0.07349999994039536,0.04259999841451645,0.031199999153614044,0.02070000022649765,0.021400000900030136,0.019899999722838402,0.018200000748038292
IND00124,2020-02-06,,,,,,190.0,,,,,9.1,,,,,7.8,BEAS AT D/S DEHRAGOPIPUR,31.8781,76.2033,India,,,,,,,,,,,0.2,32.0,,,,,,,,,,,,,,,,,,,,,,,,0.01080000028014183,0.009600000455975533,0.05719999969005585,0.06430000066757202,0.03680000081658363,0.03200000151991844,0.024900000542402267,0.025100000202655792,0.022299999371170998,0.021199999377131462
IND00124,2020-03-05,,,,,,356.0,,,,,9.0,,,,,7.6,BEAS AT D/S DEHRAGOPIPUR,31.8781,76.2033,India,,,,,,,,,,,0.1,27.0,,,,,,,,,,,,,,,,,,,,,,,,0.01940000057220459,0.015599999576807022,0.06719999760389328,0.09179999679327011,0.07209999859333038,0.06129999831318855,0.0333000011742115,0.03269999846816063,0.03099999949336052,0.0272000003606081
IND00124,2020-04-23,,,,,,238.0,,,,,8.6,,,,,7.8,BEAS AT D/S DEHRAGOPIPUR,31.8781,76.2033,India,,,,,,,,,,,0.1,33.0,,,,,,,,,,,,,,,,,,,,,,,,0.010099999606609344,0.011099999770522118,0.04340000078082085,0.057500001043081284,0.03759999945759773,0.025599999353289604,0.008700000122189522,0.01209999993443489,0.010900000110268593,0.010900000110268593
IND00124,2020-05-01,,,,,,169.0,,,,,9.2,,,,,7.9,BEAS AT D/S DEHRAGOPIPUR,31.8781,76.2033,India,,,,,,,,,,,0.2,49.0,,,,,,,,,,,,,,,,,,,,,,,,0.13650000095367432,0.12129999697208405,0.0997999981045723,0.11500000208616257,0.12039999663829803,0.1331000030040741,0.13109999895095825,0.13570000231266022,0.1257999986410141,0.1282999962568283
IND00293,2020-01-06,,,,,,543.0,,0.6,,,6.4,,,,,7.4,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.0019,78.365,India,,,,,,,,,,,1.5,500.0,,,,,,,,,,,,,,,,,,,,,,,,0.026200000196695328,0.01979999989271164,0.05559999868273735,0.06769999861717224,0.04780000075697899,0.051500000059604645,0.04010000079870224,0.03920000046491623,0.03819999843835831,0.03720000013709068
IND00293,2020-02-12,,,,,,640.0,,,,,6.3,,,,,7.3,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.0019,78.365,India,,,,,,,,,,,1.3,700.0,,,,,,,,,,,,,,,,,,,,,,,,0.014499999582767487,0.00989999994635582,0.05445000156760216,0.07190000265836716,0.0430000014603138,0.04324999824166298,0.029999999329447746,0.031050000339746475,0.024650000035762787,0.025949999690055847
IND00293,2020-03-04,,,,,,551.0,,,,,6.4,,,,,7.4,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.0019,78.365,India,,,,,,,,,,,1.2,900.0,,,,,,,,,,,,,,,,,,,,,,,,0.02085000090301037,0.013849999755620956,0.08060000091791153,0.10440000146627426,0.07859999686479568,0.0860000029206276,0.0531499981880188,0.05324999988079071,0.0458500012755394,0.043049998581409454
IND00293,2020-04-15,,,,,,694.0,,0.7,,,4.9,,,,,6.9,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.0019,78.365,India,,,,,,,,,,,1.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,0.19269999861717224,0.16245000064373016,0.08214999735355377,0.09139999747276306,0.10379999876022339,0.12014999985694885,0.12999999523162842,0.14045000076293945,0.14239999651908875,0.15559999644756317
IND00293,2020-05-09,,,,,,748.0,,,,,5.6,,,,,6.6,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.0019,78.365,India,,,,,,,,,,,2.2,700.0,,,,,,,,,,,,,,,,,,,,,,,,0.2243500053882599,0.17215000092983246,0.0803999975323677,0.0934000015258789,0.1096000000834465,0.13050000369548798,0.14914999902248383,0.15880000591278076,0.16120000183582306,0.1847500056028366
IND00293,2020-06-08,,,,,,982.0,,,,,5.9,,,,,7.5,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.0019,78.365,India,,,,,,,,,,,1.7,500.0,,,,,,,,,,,,,,,,,,,,,,,,0.21719999611377716,0.1615000069141388,0.06549999862909317,0.08940000087022781,0.10419999808073044,0.12999999523162842,0.1762000024318695,0.18140000104904175,0.16500000655651093,0.2079000025987625
IND00293,2020-11-18,,,,,,660.0,,0.8,,,6.1,,,,,7.8,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.0019,78.365,India,,,,,,,,,,,1.5,280.0,,,,,,,,,,,,,,,,,,,,,,,,0.00419999985024333,0.004650000017136335,0.021299999207258224,0.032349999994039536,0.019050000235438347,0.020999999716877937,0.011350000277161598,0.012249999679625034,0.008799999952316284,0.009499999694526196
IND00293,2020-12-11,,,,,,643.0,,1.1,,,6.0,,,,,8.1,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.0019,78.365,India,,,,,,,,,,,1.5,430.0,,,,,,,,,,,,,,,,,,,,,,,,0.00860000029206276,0.005900000222027302,0.042100001126527786,0.05339999869465828,0.029899999499320984,0.03584999963641167,0.020549999549984932,0.020999999716877937,0.01759999990463257,0.01640000008046627
IND00370,2020-01-03,,,,,,254.0,,0.84,,,7.7,,,,,7.3,KUAKHAI AT BHUBANESWAR U/S,20.2979,85.8824,India,,,,,,,,,,,0.6,3500.0,,,,,,,,,,,,,,,,,,,,,,,,0.042249999940395355,0.031050000339746475,0.058800000697374344,0.06859999895095825,0.04904999956488609,0.07055000215768814,0.06615000218153,0.07240000367164612,0.04500000178813934,0.057750001549720764
IND00370,2020-02-14,,,,,,224.0,,0.56,,,8.4,,,,,7.6,KUAKHAI AT BHUBANESWAR U/S,20.2979,85.8824,India,,,,,,,,,,,1.2,3500.0,,,,,,,,,,,,,,,,,,,,,,,,0.03620000183582306,0.025049999356269836,0.0681999996304512,0.07485000044107437,0.054999999701976776,0.0737999975681305,0.07084999978542328,0.07509999722242355,0.053599998354911804,0.066600002348423
IND00370,2020-03-06,,,,,,218.0,,0.56,,,8.9,,,,,7.6,KUAKHAI AT BHUBANESWAR U/S,20.2979,85.8824,India,,,,,,,,,,,0.7,4900.0,,,,,,,,,,,,,,,,,,,,,,,,0.03579999879002571,0.020400000736117363,0.06549999862909317,0.0722000002861023,0.05260000005364418,0.0737999975681305,0.07829999923706055,0.06109999865293503,0.04780000075697899,0.053700000047683716
IND00370,2020-04-18,,,,,,258.0,,,,,7.2,,,,,7.6,KUAKHAI AT BHUBANESWAR U/S,20.2979,85.8824,India,,,,,,,,,,,0.2,2400.0,,,,,,,,,,,,,,,,,,,,,,,,0.11890000104904175,0.10019999742507935,0.08699999749660492,0.10400000214576721,0.1034500002861023,0.125450000166893,0.10599999874830246,0.11879999935626984,0.1006999984383583,0.10509999841451645
IND00370,2020-05-18,,,,,,180.0,,,,,6.6,,,,,8.3,KUAKHAI AT BHUBANESWAR U/S,20.2979,85.8824,India,,,,,,,,,,,1.5,3500.0,,,,,,,,,,,,,,,,,,,,,,,,0.07580000162124634,0.0575999990105629,0.07530000060796738,0.0794999971985817,0.07620000094175339,0.08100000023841858,0.07890000194311142,0.0722000002861023,0.07129999995231628,0.07339999824762344
IND00370,2020-06-30,,,,,,145.0,,0.56,,,5.4,,,,,7.6,KUAKHAI AT BHUBANESWAR U/S,20.2979,85.8824,India,,,,,,,,,,,1.8,5400.0,,,,,,,,,,,,,,,,,,,,,,,,0.025200000032782555,0.017999999225139618,0.08659999817609787,0.14059999585151672,0.1589999943971634,0.15600000321865082,0.07119999825954437,0.07769999653100967,0.0560000017285347,0.04430000111460686
IND00370,2020-08-24,,,,,,141.0,,0.84,,,7.0,,,,,7.4,KUAKHAI AT BHUBANESWAR U/S,20.2979,85.8824,India,,,,,,,,,,,1.3,1300.0,,,,,,,,,,,,,,,,,,,,,,,,0.029400000348687172,0.023399999365210533,0.0729999989271164,0.08410000056028366,0.08799999952316284,0.09740000218153,0.0746999979019165,0.07840000092983246,0.061400000005960464,0.06019999831914902
IND00370,2020-11-05,,,,,,195.0,,1.68,,,8.1,,,,,8.0,KUAKHAI AT BHUBANESWAR U/S,20.2979,85.8824,India,,,,,,,,,,,1.6,2200.0,,,,,,,,,,,,,,,,,,,,,,,,0.02759999968111515,0.02250000089406967,0.042399998754262924,0.06360000371932983,0.04529999941587448,0.052000001072883606,0.03350000083446503,0.03790000081062317,0.021900000050663948,0.01850000023841858
IND00436,2018-12-24,,,,,,446.0,,,,,9.0,,,,,7.6,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,4.4,7000.0,,,,,,,,,,,,,,,,,,,,,,,,0.1673000007867813,0.13979999721050262,0.13590000569820404,0.1412999927997589,0.13650000095367432,0.15594999492168427,0.16189999878406525,0.16539999842643738,0.1687999963760376,0.16850000619888306
IND00436,2019-01-25,,,,,,446.0,,,,,9.0,,,,,7.8,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,4.4,8400.0,,,,,,,,,,,,,,,,,,,,,,,,0.17589999735355377,0.14890000224113464,0.1371999979019165,0.1462000012397766,0.1477999985218048,0.15520000457763672,0.16750000417232513,0.1673000007867813,0.17919999361038208,0.16670000553131104
IND00436,2019-02-21,,,,,,444.0,,,,,9.2,,,,,7.8,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,4.4,9400.0,,,,,,,,,,,,,,,,,,,,,,,,0.2011999934911728,0.17794999480247498,0.08094999939203262,0.08590000122785568,0.1137000024318695,0.1428000032901764,0.1465499997138977,0.15889999270439148,0.1488499939441681,0.1704999953508377
