Station,Date,Alk-Tot,EC,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,COL-True,Cluster,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
URY00076,2018-06-19,52.0,157.0,10.0,,7.9,Toma de agua,-34.8297,-55.0421,South America,102.0,678,0.0031999999191612005,0.004600000102072954,0.03139999881386757,0.042100001126527786,0.044599998742341995,0.039900001138448715,0.01759999990463257,0.015399999916553497,0.010999999940395355,0.007600000128149986
URY00076,2018-06-20,53.0,158.0,10.0,18.9,8.0,Toma de agua,-34.8297,-55.0421,South America,103.0,678,0.0031999999191612005,0.004600000102072954,0.03139999881386757,0.042100001126527786,0.044599998742341995,0.039900001138448715,0.01759999990463257,0.015399999916553497,0.010999999940395355,0.007600000128149986
URY00076,2018-06-21,53.0,158.0,12.0,23.4,8.0,Toma de agua,-34.8297,-55.0421,South America,108.0,678,0.0031999999191612005,0.004600000102072954,0.03139999881386757,0.042100001126527786,0.044599998742341995,0.039900001138448715,0.01759999990463257,0.015399999916553497,0.010999999940395355,0.007600000128149986
URY00076,2018-06-22,50.0,157.0,11.0,19.5,8.0,Toma de agua,-34.8297,-55.0421,South America,107.0,678,0.0031999999191612005,0.004600000102072954,0.03139999881386757,0.042100001126527786,0.044599998742341995,0.039900001138448715,0.01759999990463257,0.015399999916553497,0.010999999940395355,0.007600000128149986
URY00076,2018-06-25,52.0,177.0,9.0,19.3,8.2,Toma de agua,-34.8297,-55.0421,South America,96.0,678,0.0031999999191612005,0.004600000102072954,0.03139999881386757,0.042100001126527786,0.044599998742341995,0.039900001138448715,0.01759999990463257,0.015399999916553497,0.010999999940395355,0.007600000128149986
URY00076,2018-06-26,53.0,158.0,9.0,,8.0,Toma de agua,-34.8297,-55.0421,South America,114.0,678,0.0031999999191612005,0.004600000102072954,0.03139999881386757,0.042100001126527786,0.044599998742341995,0.039900001138448715,0.01759999990463257,0.015399999916553497,0.010999999940395355,0.007600000128149986
URY00076,2018-06-27,53.0,158.0,11.0,18.8,8.0,Toma de agua,-34.8297,-55.0421,South America,107.0,678,0.0031999999191612005,0.004600000102072954,0.03139999881386757,0.042100001126527786,0.044599998742341995,0.039900001138448715,0.01759999990463257,0.015399999916553497,0.010999999940395355,0.007600000128149986
URY00076,2018-06-28,53.0,157.0,10.0,19.1,7.9,Toma de agua,-34.8297,-55.0421,South America,110.0,678,0.0031999999191612005,0.004600000102072954,0.03139999881386757,0.042100001126527786,0.044599998742341995,0.039900001138448715,0.01759999990463257,0.015399999916553497,0.010999999940395355,0.007600000128149986
URY00076,2018-06-29,56.0,158.0,10.0,18.9,8.0,Toma de agua,-34.8297,-55.0421,South America,115.0,678,0.0031999999191612005,0.004600000102072954,0.03139999881386757,0.042100001126527786,0.044599998742341995,0.039900001138448715,0.01759999990463257,0.015399999916553497,0.010999999940395355,0.007600000128149986
URY00076,2018-07-02,53.0,170.0,12.0,18.5,8.1,Toma de agua,-34.8297,-55.0421,South America,97.0,678,0.0031999999191612005,0.004600000102072954,0.03139999881386757,0.042100001126527786,0.044599998742341995,0.039900001138448715,0.01759999990463257,0.015399999916553497,0.010999999940395355,0.007600000128149986
