Station,Date,Time,Alk-Tot,Ca-Dis,Cl-Dis,EC,Fe-Dis,Mg-Dis,NH3N,NO3N,O2-Dis,SO4-Dis,SiO2-Rea,TDP,TEMP,TSS,Zn-Dis,pH,Station Identifier,Latitude,Longitude,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
RUS00024,2019-06-17,,64.0,12.2,0.6,1232.0,0.02,6.6,0.01,0.08,11.9,6.2,0.2,0.02,6.0,2.0,0.005,7.9,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,12.2,0.6,1232.0,0.02,6.6,0.01,0.08,11.9,6.2,0.2,0.02,6.0,2.0,0.005,7.9,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,12.2,0.6,1232.0,0.02,6.6,0.01,0.08,11.9,6.2,0.2,0.02,6.0,2.0,0.005,7.9,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,12.2,0.6,1232.0,0.02,6.6,0.01,0.08,11.9,6.2,0.2,0.02,6.0,2.0,0.005,7.9,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,12.2,0.6,1232.0,0.02,6.6,0.01,0.08,11.9,6.2,0.2,0.02,6.0,2.0,0.005,7.9,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,63.0,12.8,0.7,1230.0,0.02,6.1,0.03,0.08,11.9,6.0,0.3,0.02,5.5,2.0,0.007,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,63.0,12.8,0.7,1230.0,0.02,6.1,0.03,0.08,11.9,6.0,0.3,0.02,5.5,2.0,0.007,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,63.0,12.8,0.7,1230.0,0.02,6.1,0.03,0.08,11.9,6.0,0.3,0.02,5.5,2.0,0.007,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,63.0,12.8,0.7,1230.0,0.02,6.1,0.03,0.08,11.9,6.0,0.3,0.02,5.5,2.0,0.007,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,63.0,12.8,0.7,1230.0,0.02,6.1,0.03,0.08,11.9,6.0,0.3,0.02,5.5,2.0,0.007,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,63.0,12.4,0.6,1230.0,0.02,6.3,0.02,0.08,,5.6,0.2,0.02,5.5,2.0,0.005,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,63.0,12.4,0.6,1230.0,0.02,6.3,0.02,0.08,,5.6,0.2,0.02,5.5,2.0,0.005,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,63.0,12.4,0.6,1230.0,0.02,6.3,0.02,0.08,,5.6,0.2,0.02,5.5,2.0,0.005,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,63.0,12.4,0.6,1230.0,0.02,6.3,0.02,0.08,,5.6,0.2,0.02,5.5,2.0,0.005,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,63.0,12.4,0.6,1230.0,0.02,6.3,0.02,0.08,,5.6,0.2,0.02,5.5,2.0,0.005,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,13.4,0.6,1237.0,0.02,5.6,0.04,0.1,,6.2,0.2,0.02,5.0,2.0,0.006,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,13.4,0.6,1237.0,0.02,5.6,0.04,0.1,,6.2,0.2,0.02,5.0,2.0,0.006,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,13.4,0.6,1237.0,0.02,5.6,0.04,0.1,,6.2,0.2,0.02,5.0,2.0,0.006,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,13.4,0.6,1237.0,0.02,5.6,0.04,0.1,,6.2,0.2,0.02,5.0,2.0,0.006,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,13.4,0.6,1237.0,0.02,5.6,0.04,0.1,,6.2,0.2,0.02,5.0,2.0,0.006,7.8,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,12.8,0.6,1246.0,0.02,5.8,0.01,0.09,11.5,5.9,0.3,0.02,5.0,2.0,0.007,7.9,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,12.8,0.6,1246.0,0.02,5.8,0.01,0.09,11.5,5.9,0.3,0.02,5.0,2.0,0.007,7.9,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,12.8,0.6,1246.0,0.02,5.8,0.01,0.09,11.5,5.9,0.3,0.02,5.0,2.0,0.007,7.9,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,12.8,0.6,1246.0,0.02,5.8,0.01,0.09,11.5,5.9,0.3,0.02,5.0,2.0,0.007,7.9,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-06-17,,64.0,12.8,0.6,1246.0,0.02,5.8,0.01,0.09,11.5,5.9,0.3,0.02,5.0,2.0,0.007,7.9,Baikal Lake - Uzur,53.1667,108.0,0.02775000035762787,0.0251499991863966,0.04610000178217888,0.03754999861121178,0.032600000500679016,0.030799999833106995,0.030649999156594276,0.03310000151395798,0.02954999916255474,0.03310000151395798
RUS00024,2019-09-13,,63.0,11.2,0.7,1232.0,0.03,4.9,0.01,0.02,10.0,6.0,0.5,0.02,8.6,2.0,0.002,7.9,Baikal Lake - Uzur,53.1667,108.0,0.16750000417232513,0.15189999341964722,0.18539999425411224,0.17880000174045563,0.17219999432563782,0.17010000348091125,0.1655000001192093,0.16580000519752502,0.17579999566078186,0.1664000004529953
