Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
MEX01356,2019-03-05,,,0.0019,,,1039.0,,,0.091,0.181,6.6,,664.96,18.8,121.1,8.2,PATZCUARO LAKE NECK,19.6398,-101.6083,Mexico,,0.338,,,3.584,1.171,0.18,12.0,91.8,,,,0.243,0.0028,30.0,0.1,0.0069,13.59,,90.0,1.1,0.0033,0.0009,14.3,3.312,14.056,2.974,0.311,,,,,,,,393,0.004600000102072954,0.0037499999161809683,0.07604999840259552,0.11909999698400497,0.1200999990105629,0.11784999817609787,0.058400001376867294,0.054999999701976776,0.042249999940395355,0.02914999984204769
MEX01356,2020-09-29,,,0.00387,,,1051.0,,,0.021,0.026,4.8,,672.0,21.3,69.1,9.0,PATZCUARO LAKE NECK,19.6398,-101.6083,Mexico,,0.02,,,2.475,1.216,0.23,38.0,87.5,,,,,0.01,20.0,3.0,0.0061,13.519,,93.0,0.5,0.0025,0.005,17.0,2.428,14.63,2.408,0.594,,,,,,,,393,0.02329999953508377,0.020899999886751175,0.07845000177621841,0.11990000307559967,0.09435000270605087,0.13500000536441803,0.08375000208616257,0.08134999871253967,0.066600002348423,0.055799998342990875
MEX01357,2019-03-05,,,0.0019,,,1043.0,,,0.082,0.164,6.4,,667.52,18.9,110.2,8.8,LAKE OF PATZCUARO 5,19.6383,-101.5872,Mexico,,1.208,,,2.487,1.28,0.18,17.0,88.7,,,,0.254,0.0029,40.0,0.23,0.0148,14.52,,70.0,0.8,0.0034,0.0012,17.4,2.241,14.575,1.033,0.353,,,,,,,,393,0.037950001657009125,0.02355000004172325,0.06145000085234642,0.09745000302791595,0.09740000218153,0.11264999955892563,0.09589999914169312,0.1002499982714653,0.09205000102519989,0.08815000206232071
MEX01357,2020-09-29,,,0.00453,,,1055.0,,,0.021,0.02,6.5,,672.64,21.7,76.3,9.0,LAKE OF PATZCUARO 5,19.6383,-101.5872,Mexico,,0.02,,,3.25,1.129,0.23,40.0,96.0,,,,,0.01,20.0,3.0,0.0082,13.567,,93.0,0.5,0.0039,0.005,21.2,3.209,14.442,3.189,0.741,,,,,,,,393,0.06414999812841415,0.03799999877810478,0.048500001430511475,0.07814999669790268,0.07294999808073044,0.09960000216960907,0.10729999840259552,0.12165000289678574,0.11869999766349792,0.10949999839067459
MEX01358,2019-03-05,,,0.0079,,,1046.0,,,0.082,0.163,7.0,,669.44,19.5,111.0,8.9,PATZCUARO SENO QUIROGA,19.6473,-101.5787,Mexico,,0.728,,,2.037,1.039,0.18,19.0,97.1,,,,0.223,0.0026,30.0,0.23,0.0059,14.348,,90.0,1.3,0.0029,0.0008,16.4,1.792,14.351,1.064,0.232,,,,,,,,393,0.009850000031292439,0.00865000020712614,0.07880000025033951,0.11860000342130661,0.12540000677108765,0.12489999830722809,0.07020000368356705,0.06689999997615814,0.052400000393390656,0.039500001817941666
MEX01358,2020-09-29,,,0.0052,,,1051.0,,,0.021,0.036,6.4,,659.84,21.6,71.1,9.0,PATZCUARO SENO QUIROGA,19.6473,-101.5787,Mexico,,0.027,,,2.991,0.953,0.28,20.0,75.6,,,,,0.01,15.0,3.0,0.005,14.313,,4.0,0.5,0.0017,0.005,21.4,2.934,15.149,2.907,0.714,,,,,,,,393,0.0048500001430511475,0.0037499999161809683,0.06750000268220901,0.10939999669790268,0.07954999804496765,0.11514999717473984,0.06554999947547913,0.06255000084638596,0.048900000751018524,0.03584999963641167
MEX01359,2019-03-05,,,0.0123,,,1049.0,,,0.08,0.16,6.4,,671.36,19.6,126.5,8.9,LAKE OF PATZCUARO 6,19.6512,-101.5517,Mexico,,0.725,,,1.56,0.956,0.18,46.0,89.7,,,,0.248,0.0024,30.0,0.02,0.0192,14.184,,30.0,1.3,0.0028,0.0007,21.8,1.32,14.345,0.595,0.227,,,,,,,,393,0.0070500001311302185,0.0035500000230968,0.0637499988079071,0.1031000018119812,0.11330000311136246,0.11980000138282776,0.0674000009894371,0.06530000269412994,0.05204999819397926,0.03644999861717224
MEX01359,2020-09-29,,,0.00613,,,1046.0,,,0.179,0.167,2.8,,669.44,21.4,113.1,8.9,LAKE OF PATZCUARO 6,19.6512,-101.5517,Mexico,,0.02,,,3.753,0.895,0.18,48.0,40.4,,,,,0.01,30.0,3.0,0.0058,14.134,,1100.0,0.5,0.0028,0.005,22.1,3.407,14.854,3.387,0.876,,,,,,,,393,0.007149999961256981,0.0056500001810491085,0.07154999673366547,0.10660000145435333,0.11060000211000443,0.10989999771118164,0.05674999952316284,0.05555000156164169,0.041999999433755875,0.03189999982714653
MEX01360,2019-03-05,,,0.0113,,,1046.0,,,0.068,0.136,9.5,,669.44,19.0,131.9,9.0,LAKE OF PATZCUARO 8,19.6658,-101.5858,Mexico,,1.149,,,2.279,0.927,0.18,36.0,134.2,,,,0.186,0.0026,20.0,0.23,0.011,14.378,,70.0,1.6,0.0034,0.001,21.8,2.075,14.422,0.926,0.333,,,,,,,,393,0.005049999803304672,0.004350000061094761,0.06279999762773514,0.10225000232458115,0.07959999889135361,0.1257999986410141,0.07055000215768814,0.06700000166893005,0.05335000157356262,0.03629999980330467
MEX01360,2020-09-29,,,0.00387,,,1051.0,,,0.021,0.022,2.8,,673.92,21.3,63.1,8.9,LAKE OF PATZCUARO 8,19.6658,-101.5858,Mexico,,0.029,,,7.291,0.769,0.23,24.0,64.7,,,,,0.01,20.0,3.0,0.005,13.949,,43.0,0.5,0.001,0.005,22.3,7.248,14.79,7.219,0.711,,,,,,,,393,0.007249999791383743,0.006000000052154064,0.07680000364780426,0.11720000207424164,0.09794999659061432,0.11304999887943268,0.05860000103712082,0.058150000870227814,0.0442500002682209,0.033900000154972076
