Parameter Code,Parameter Group
Alk-Tot,"['Chemical', 'Inorganic']"
BOD,"['Chemical', 'Oxygen Demand']"
Ca-Dis,"['Chemical', 'Inorganic']"
Cl-Dis,"['Chemical', 'Inorganic']"
EC,"['Chemical', 'Inorganic']"
Fe-Dis,"['Chemical', 'Inorganic']"
Hg-Dis,"['Chemical', 'Inorganic']"
K-Dis,"['Chemical', 'Inorganic']"
Mg-Dis,"['Chemical', 'Inorganic']"
Na-Dis,"['Chemical', 'Inorganic']"
NH3N,"['Chemical', 'Nutrient']"
NO3N,"['Chemical', 'Nutrient']"
O2-Dis,"['Chemical', 'Inorganic']"
Pb-Dis,"['Chemical', 'Inorganic']"
pH,"['Chemical', 'Inorganic']"
Q-Inst,"['Physical', 'Flux']"
SiO2-Rea,"['Chemical', 'Inorganic']"
SO4-Dis,"['Chemical', 'Inorganic']"
TDP,"['Chemical', 'Nutrient']"
TEMP,"['Physical', 'Temperature']"
TSS,"['Physical', 'Water']"
Zn-Dis,"['Chemical', 'Inorganic']"
Ag-Tot,"['Chemical', 'Inorganic']"
Alk-Tot,"['Chemical', 'Inorganic']"
Al-Tot,"['Chemical', 'Inorganic']"
As-Dis,"['Chemical', 'Inorganic']"
As-Tot,"['Chemical', 'Inorganic']"
A340,"['Physical', 'Optical']"
Ba-Dis,"['Chemical', 'Inorganic']"
Ba-Tot,"['Chemical', 'Inorganic']"
Be-Tot,"['Chemical', 'Inorganic']"
Bi-Tot,"['Chemical', 'Inorganic']"
BOD,"['Chemical', 'Oxygen Demand']"
B-Tot,"['Chemical', 'Inorganic']"
Ca-Dis,"['Chemical', 'Inorganic']"
Ca-Tot,"['Chemical', 'Inorganic']"
Cd-Dis,"['Chemical', 'Inorganic']"
Cd-Tot,"['Chemical', 'Inorganic']"
Chl-a,"['Biological', 'Pigment']"
Cl-Dis,"['Chemical', 'Inorganic']"
CN-Tot,"['Chemical', 'Inorganic']"
COD,"['Chemical', 'Oxygen Demand']"
COL-App,"['Physical', 'Optical']"
COL-True,"['Physical', 'Optical']"
Co-Tot,"['Chemical', 'Inorganic']"
Cr-Dis,"['Chemical', 'Inorganic']"
Cr-Tot,"['Chemical', 'Inorganic']"
Cu-Dis,"['Chemical', 'Inorganic']"
Cu-Tot,"['Chemical', 'Inorganic']"
DIC,"['Chemical', 'Nutrient']"
DOC,"['Chemical', 'Nutrient']"
EC,"['Chemical', 'Inorganic']"
