Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,Cluster
TZA00011,2016-01-13,,50.0,29.682,3.615,45.0,149.75,24.5,58.0,5.5,164.0,5.2125,5.755,116.0,24.35,2.8025,8.17,In Lake Victoria Tanzania Littoral Station 020,-1.4809,31.7671333333333,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
TZA00013,2016-01-10,,44.0,0.0198,,,95.0,36.0,0.05,0.05,0.74,6.03,,61.0,25.3,4.3,8.5,In Lake Victoria Tanzania Littoral Station 070,-2.24518333333333,31.7485166666667,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
TZA00014,2016-01-10,,56.6666666666667,24.5733333333333,3.69666666666667,20.0,115.0,34.6666666666667,30.0,167.0,751.466666666667,4.71333333333333,7183.33333333333,74.3333333333333,24.3,8.01666666666667,7.30666666666667,In Lake Victoria Tanzania Littoral Station 200,-2.70516666666667,31.9915,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
TZA00015,2016-01-07,,60.0,0.0068,,,111.0,26.0,0.05,4.0,0.58,7.95,,72.0,26.8,8.8,8.51,In Lake Victoria Tanzania Littoral Station 230,-2.5908,32.86835,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
TZA00017,2016-01-01,,74.6666666666667,32.3333333333333,3.53333333333333,56.6666666666667,142.666666666667,31.3333333333333,0.246666666666667,0.0213333333333333,760.0,7.03666666666667,9870.0,92.6666666666667,25.7333333333333,31.0,7.02666666666667,In Lake Victoria Tanzania Littoral Station 232,-2.65735,32.8393333333333,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
TZA00018,2016-01-07,,74.0,31.525,3.7,30.0,150.0,34.6666666666667,57.0,,1.15,6.33666666666667,11266.6666666667,97.3333333333333,25.3,25.3333333333333,6.72666666666667,In Lake Victoria Tanzania Littoral Station 233,-2.71188333333333,32.86825,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
TZA00019,2016-07-08,,29.3333333333333,19.4,3.23333333333333,39.1,155.0,36.0,60.0,20.0,1580.0,6.66,10130.0,100.333333333333,25.7666666666667,63.3333333333333,6.69666666666667,In Lake Victoria Tanzania Littoral Station 234,-2.77405,32.8974833333333,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
TZA00021,2016-01-08,,60.0,0.0064,,,99.0,25.0,0.05,0.03,0.05,7.64,,65.0,25.7,3.7,7.64,In Lake Victoria Tanzania Pelagic station 01,-2.49068333333333,32.84953333333331,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
TZA00023,2016-01-09,,52.0,0.004,,,97.0,25.0,0.04,0.04,0.06,7.0,,63.0,23.9,1.2,7.41,In Lake Victoria Tanzania Pelagic station 03,-2.14106666666667,32.46495,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
TZA00024,2016-01-09,,50.0,0.0036,,,94.0,28.0,0.03,4.0,0.34,6.0,,66.88,24.4,1.1,7.59,In Lake Victoria Tanzania Pelagic station 04,-1.86081666666667,32.5463666666667,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
TZA00025,2016-01-09,,54.3333333333333,2.59,4.42,35.0,93.1666666666667,27.1666666666667,58.3333333333333,15.0,286.8,5.83,3733.33333333333,60.0,24.3833333333333,1.16666666666667,7.48,In Lake Victoria Tanzania Pelagic station 05,-2.12903333333333,32.2699666666667,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
TZA00026,2016-01-09,,56.0,0.008,,,94.0,29.0,0.19,0.01,0.35,7.0,,62.0,24.6,1.4,8.01,In Lake Victoria Tanzania Pelagic station 06,-2.29966666666667,32.09525,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
TZA00026,2016-09-01,,51.2,5.964,3.468,34.0,95.0,25.2,88.0,10.0,298.58,6.514,4068.0,61.6,24.36,1.324,7.754,In Lake Victoria Tanzania Pelagic station 06,-2.29966666666667,32.09525,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
TZA00027,2016-01-10,,51.5,18.625,3.98,25.0,99.5,36.0,170.0,67.5,296.1,5.46,3997.5,49.251,24.45,5.375,8.085,In Lake Victoria Tanzania Pelagic station 07,-2.53486666666667,31.8660333333333,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
TZA00028,2016-11-01,,45.1428571428571,3.37285714285714,4.27,37.0,100.571428571429,32.4285714285714,36.542,2.104,139.0,5.47428571428571,0.0033528571428571,61.0,24.2428571428571,1.84428571428571,8.0,In Lake Victoria Tanzania Pelagic station 08,-1.82671666666667,32.0120166666667,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
TZA00030,2016-01-12,,54.0,2.695,4.25833333333333,0.0416666666666667,107.333333333333,28.0,48.0216666666666,1.042,132.11915,5.10333333333333,0.0032233333333333,48.299,24.6666666666667,0.9975,7.86333333333333,In Lake Victoria Tanzania Pelagic station 10,-1.43083333333333,31.9995333333333,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
TZA00031,2016-01-08,,45.0253968253968,1.2936,2.98,0.05704,113.225370398373,33.634126984127,1.22925900234092,0.0472,0.0251650793650794,4.8141511539448,2044.0,50.9514166792679,24.4337242418491,1.67,7.94413281499716,In Lake Victoria Tanzania Pelagic station 11,-1.09605,32.0587166666667,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
TZA00035,2016-01-08,,54.4,9.26539506172839,3.374,58.0,102.4,29.2,44.0,9.03959512481037,1.02644,6.876,8385.02380952381,65.8,24.78,4.456,7.262,In Lake Victoria Tanzania Pelagic station 15,-2.31021666666667,33.2712166666667,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
