Station,Date,Time,Cl-Dis,EC,NH3N,O2-Dis,SiO2-Rea,TDP,TEMP,TN,TP,TRANS,TSS,pH,Station Identifier,Latitude,Longitude
JPN00016,2015-08-27,,6.72,134.2,0.05,13.2,,,3.97,0.07,0.003,17.2,0.06,7.53,Lake Mashu - Deepest Point,43.5877777777778,144.530833333333
JPN00016,2016-09-02,,6.59,146.6,0.05,12.3,,0.00056,4.06,0.07,0.003,,,7.34,Lake Mashu - Deepest Point,43.5877777777778,144.530833333333
JPN00016,2016-09-03,,6.56,145.2,0.05,12.3,,0.00042,4.93,0.06,0.003,7.5,,8.43,Lake Mashu - Deepest Point,43.5877777777778,144.530833333333
JPN00016,2016-09-04,,6.79,153.6,0.05,12.1,,0.00075,4.08,0.08,0.003,,,6.8,Lake Mashu - Deepest Point,43.5877777777778,144.530833333333
JPN00016,2017-09-04,,6.49,148.8,0.05,10.8,,0.00041,3.89,0.13,0.003,,0.31,7.5,Lake Mashu - Deepest Point,43.5877777777778,144.530833333333
JPN00016,2017-09-05,,6.5,144.1,0.05,12.2,,0.00047,8.07,0.1,0.003,,0.29,8.03,Lake Mashu - Deepest Point,43.5877777777778,144.530833333333
JPN00016,2017-09-06,,6.45,137.2,0.05,9.3,,0.00032,10.84,0.1,0.003,19.0,0.41,8.35,Lake Mashu - Deepest Point,43.5877777777778,144.530833333333
JPN00016,2018-09-03,,6.6,148.2,0.05,11.0,11.0,,3.8,0.07,0.002,,,6.92,Lake Mashu - Deepest Point,43.5877777777778,144.530833333333
JPN00016,2018-09-06,,6.6,128.8,0.05,9.4,10.0,,7.2,0.07,0.002,18.1,,7.47,Lake Mashu - Deepest Point,43.5877777777778,144.530833333333
JPN00016,2019-09-02,,6.5,128.9,0.05,12.8,11.0,,5.2,0.07,0.002,18.5,,7.12,Lake Mashu - Deepest Point,43.5877777777778,144.530833333333
JPN00016,2020-08-25,,6.6,130.3,0.05,12.79,11.0,,19.56,0.13,0.002,21.1,,7.64,Lake Mashu - Deepest Point,43.5877777777778,144.530833333333
JPN00016,2021-08-03,,6.7,131.4,0.05,8.32,11.0,,21.94,0.09,0.002,25.8,,8.23,Lake Mashu - Deepest Point,43.5877777777778,144.530833333333
JPN00019,2015-01-05,,9.7,,0.01,10.7,0.5,,9.3,0.3,0.006,8.1,1.0,7.5,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2015-02-02,,9.8,,0.01,11.0,0.8,,7.7,0.32,0.009,6.1,1.3,7.4,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2015-03-02,,9.7,,0.01,11.5,0.8,,7.3,0.31,0.009,5.8,1.0,7.5,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2015-04-06,,9.7,,0.01,12.2,0.5,,9.4,0.31,0.006,6.0,1.0,7.6,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2015-05-11,,9.6,,0.01,11.0,0.3,,13.6,0.29,0.005,9.9,1.0,7.6,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2015-06-01,,9.7,,0.02,10.4,0.4,,17.0,0.28,0.007,8.0,1.0,7.9,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2015-07-06,,9.7,,0.01,10.0,0.8,,22.6,0.23,0.009,4.1,1.5,8.5,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2015-08-03,,9.3,,0.01,8.8,1.3,,28.8,0.16,0.007,7.2,1.0,8.6,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2015-09-07,,9.3,,0.01,8.6,1.5,,25.5,0.18,0.009,6.3,1.0,8.0,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2015-10-05,,9.2,,0.01,8.9,1.0,,22.3,0.19,0.007,5.9,1.1,7.8,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2015-11-02,,9.4,,0.01,8.9,0.8,,17.6,0.19,0.007,6.7,1.0,7.6,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2015-12-07,,9.4,,0.01,9.8,0.4,,13.7,0.21,0.007,7.3,1.0,7.7,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2016-01-04,,9.4,,0.01,10.2,0.7,,11.0,0.22,0.004,7.9,1.0,7.5,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2016-02-01,,9.5,,0.01,10.4,1.2,,8.7,0.3,0.008,8.0,1.0,7.6,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2016-03-07,,9.6,,0.01,10.8,1.6,,8.8,0.31,0.007,7.5,1.0,7.6,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2016-04-04,,9.6,,0.01,12.4,1.5,,10.3,0.31,0.012,4.9,1.0,7.9,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2016-05-09,,9.7,,0.01,11.8,1.6,,14.0,0.35,0.013,4.5,1.9,7.9,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2016-06-06,,9.6,,0.01,10.6,1.1,,19.4,0.22,0.008,4.7,1.0,8.0,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2016-07-04,,9.4,,0.01,9.5,0.8,,25.4,0.18,0.01,7.1,1.0,7.8,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2016-08-01,,9.2,,0.01,8.9,1.3,,28.0,0.18,0.009,5.8,1.0,8.1,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2016-09-05,,9.5,,0.01,8.3,1.1,,27.4,0.16,0.007,8.1,1.0,7.8,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2016-10-03,,9.1,,0.01,8.9,0.8,,24.6,0.17,0.009,5.8,1.3,7.6,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2016-11-08,,9.2,,0.01,9.8,0.6,,17.0,0.21,0.007,5.4,2.1,8.0,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2016-12-05,,9.3,,0.01,11.3,0.9,,13.9,0.2,0.007,5.8,1.7,7.8,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2017-01-10,,9.5,,0.01,10.4,1.7,,10.2,0.24,0.008,6.7,1.5,7.6,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2017-02-08,,9.6,,0.01,10.8,2.5,,8.2,0.25,0.008,7.6,1.0,7.5,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2017-03-06,,9.7,,0.02,11.7,2.6,,8.1,0.26,0.007,9.4,1.0,7.7,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2017-04-10,,9.5,,0.01,11.7,2.9,,9.8,0.26,0.008,3.0,1.7,7.8,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2017-05-08,,9.8,,0.01,12.0,2.2,,14.5,0.2,0.005,5.9,1.6,8.4,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2017-06-05,,9.8,,0.01,10.1,1.3,,19.3,0.17,0.006,5.9,2.2,8.9,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2017-07-03,,9.6,,0.01,9.7,1.4,,24.4,0.17,0.006,5.1,1.0,8.8,Lake Biwa - North Center,35.3916666666667,136.135277777778
JPN00019,2017-08-01,,9.5,,0.01,8.4,1.8,,28.6,0.16,0.006,5.0,1.5,8.7,Lake Biwa - North Center,35.3916666666667,136.135277777778
