Station,Date,Time,Cl-Tot,NH4N,NO2N,NO3N,O2-Dis,O2-Dis-Sat,TIP,TP,Station Identifier,Latitude,Longitude
AUT00231,2016-06-21,,,0.01400166768,0.003004115373,0.065955411588,9.5,104.0,,0.031,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2016-07-18,,,0.01400166768,0.003004115373,0.066954736006,10.0,106.0,,0.036,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2016-08-23,,,0.00800095296,0.003004115373,0.041971625556,9.2,100.0,,0.023,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2016-09-19,,,0.0150017868,0.003004115373,0.031978381376,8.5,96.0,,0.062,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2017-06-26,,,0.01200142944,0.003004115373,0.027981083704,8.2,99.0,,0.11,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2017-07-17,,,0.0100011912,0.003004115373,0.03497635463,9.2,103.0,,0.021,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2017-08-21,,,0.025002978,0.003004115373,0.02997973254,9.0,98.0,,0.033,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2017-09-25,,,0.01300154856,0.003004115373,0.031978381376,10.8,105.0,,0.027,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2018-06-11,,,0.00800095296,0.003004115373,0.03997297672,8.8,110.0,,0.035,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2018-07-16,,,0.01200142944,0.003004115373,0.027981083704,8.5,102.0,,0.028,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2018-08-13,,,0.00700083384,0.003004115373,0.031978381376,8.8,105.0,,0.045,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2018-09-26,,,0.00600071472,0.003004115373,0.027981083704,10.5,96.0,,0.017,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2019-06-06,,,0.05400643248,0.003004115373,0.067954060424,8.0,98.0,,0.04,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2019-08-09,,,0.03600428832,0.003004115373,0.030979056958,8.0,99.0,,0.027,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2019-09-12,,,0.00800095296,0.003004115373,0.027981083704,9.5,105.0,,0.019,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2020-06-24,,,0.00800095296,0.01001371791,0.092937170874,9.9,107.0,,0.067,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2020-07-13,,,0.02900345448,0.01001371791,0.067954060424,9.6,105.0,,0.054,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2020-08-10,,,0.01900226328,0.01001371791,0.0499662209,9.8,121.0,,0.039,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2020-09-14,,,0.02700321624,0.01001371791,0.05496284299,10.7,125.0,,0.027,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2021-06-28,,,0.04400524128,0.01001371791,0.142903391774,8.3,102.0,,0.024,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2021-07-21,,,0.02200262064,0.01001371791,0.14490204061,7.2,101.0,,0.03,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2021-08-09,,,0.0450053604,0.01001371791,0.043970274392,8.9,101.0,,0.024,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00231,2021-10-18,,,0.07100845752,0.01001371791,0.073950006932,10.6,96.0,,0.037,WEIDENINSEL SEEMITTE,47.89955,16.80295
AUT00232,2016-06-21,,,0.01300154856,0.003004115373,0.05995946508,9.5,103.0,,0.031,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2016-07-18,,,0.0150017868,0.003004115373,0.055962167408,9.9,104.0,,0.047,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2016-08-23,,,0.03100369272,0.003004115373,0.052964194154,9.1,98.0,,0.034,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2016-09-19,,,0.01300154856,0.003004115373,0.032977705794,8.6,96.0,,0.086,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2017-06-26,,,0.01100131032,0.003004115373,0.026981759286,8.1,98.0,,0.08,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2017-07-17,,,0.00800095296,0.003004115373,0.036975003466,9.1,102.0,,0.024,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2017-08-21,,,0.01800214416,0.003004115373,0.027981083704,9.1,98.0,,0.031,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2017-09-25,,,0.01300154856,0.003004115373,0.027981083704,10.4,101.0,,0.025,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2018-06-11,,,0.00600071472,0.003004115373,0.070952033678,8.2,102.0,,0.029,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2018-07-16,,,0.01200142944,0.003004115373,0.026981759286,8.1,98.0,,0.031,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2018-08-13,,,0.00700083384,0.003004115373,0.030979056958,8.5,102.0,,0.037,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2018-09-26,,,0.00900107208,0.003004115373,0.035975679048,10.6,96.0,,0.024,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2019-06-06,,,0.1200142944,0.003004115373,0.057960816244,8.0,97.0,,0.037,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2019-08-09,,,0.04400524128,0.003004115373,0.027981083704,8.0,98.0,,0.029,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2019-09-12,,,0.00800095296,0.003004115373,0.02997973254,9.8,108.0,,0.075,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2020-06-24,,,0.00700083384,0.01001371791,0.103929739472,9.9,105.0,,0.089,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2020-07-13,,,0.05800690896,0.01001371791,0.06495608717,9.6,105.0,,0.038,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2020-08-10,,,0.0150017868,0.01001371791,0.036975003466,9.6,117.0,,0.123,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2020-09-14,,,0.03400405008,0.01001371791,0.063956762752,9.0,105.0,,0.027,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2021-06-28,,,0.0800095296,0.01001371791,0.120918254578,8.2,100.0,,0.024,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2021-07-21,,,0.03900464568,0.01001371791,0.126914201086,7.3,100.0,,0.033,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2021-08-09,,,0.03400405008,0.01001371791,0.037974327884,8.8,100.0,,0.034,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00232,2021-10-18,,,0.08701036344,0.01001371791,0.0499662209,10.6,97.0,,0.026,SEEMITTE DONNERSKIRCHEN,47.85315,16.76457
AUT00233,2016-06-21,,,0.02300273976,0.003004115373,0.030979056958,9.2,101.0,,0.033,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2016-07-18,,,0.02300273976,0.003004115373,0.05496284299,9.8,102.0,,0.056,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2016-08-23,,,0.01700202504,0.003004115373,0.058960140662,9.1,97.0,,0.037,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2016-09-19,,,0.01200142944,0.003004115373,0.038973652302,8.6,98.0,,0.079,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2017-06-26,,,0.0200023824,0.003004115373,0.032977705794,8.1,101.0,,0.045,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2017-07-17,,,0.01200142944,0.003004115373,0.030979056958,9.1,112.0,,0.02,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2017-08-21,,,0.02600309712,0.003004115373,0.022984461614,9.0,100.0,,0.033,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2017-09-25,,,0.01100131032,0.003004115373,0.036975003466,10.5,105.0,,0.025,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2018-06-11,,,0.05800690896,0.006008230746,0.093936495292,8.0,104.0,,0.024,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2018-07-16,,,0.0100011912,0.003004115373,0.027981083704,8.1,101.0,,0.027,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2018-08-13,,,0.05200619424,0.003004115373,0.033977030212,8.3,104.0,,0.026,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2018-09-26,,,0.01400166768,0.003004115373,0.033977030212,10.4,97.0,,0.026,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2019-06-06,,,0.1300154856,0.003004115373,0.067954060424,7.9,98.0,,0.041,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2019-08-09,,,0.03800452656,0.003004115373,0.033977030212,8.4,106.0,,0.031,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2019-09-12,,,0.01600190592,0.003004115373,0.040972301138,8.6,102.0,,0.023,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2020-06-24,,,0.01400166768,0.01001371791,0.06995270926,9.7,106.0,,0.041,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2020-07-13,,,0.0450053604,0.01001371791,0.077947304604,9.4,107.0,,0.035,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2020-08-10,,,0.03900464568,0.01001371791,0.086941224366,8.5,106.0,,0.027,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2020-09-14,,,0.03200381184,0.01001371791,0.073950006932,8.3,98.0,,0.023,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2021-06-28,,,0.04700559864,0.01001371791,0.14490204061,8.0,102.0,,0.023,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2021-07-21,,,0.03800452656,0.01001371791,0.141904067356,7.2,104.0,,0.045,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2021-08-09,,,0.01700202504,0.01001371791,0.04496959881,8.8,103.0,,0.029,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00233,2021-10-18,,,0.05700678984,0.01001371791,0.04496959881,10.4,95.0,,0.03,HÖHE ILLMITZ ¿ MÖRBISCH,47.75397,16.72378
AUT00234,2016-06-21,,,0.01400166768,0.003004115373,0.08993919762,9.2,105.0,,0.026,GRENZE SÜD,47.68377,16.75959
AUT00234,2016-07-18,,,0.01300154856,0.003004115373,0.040972301138,9.8,103.0,,0.025,GRENZE SÜD,47.68377,16.75959
AUT00234,2016-08-23,,,0.01100131032,0.003004115373,0.056961491826,9.3,98.0,,0.035,GRENZE SÜD,47.68377,16.75959
AUT00234,2016-09-19,,,0.02300273976,0.003004115373,0.043970274392,8.8,99.0,,0.109,GRENZE SÜD,47.68377,16.75959
AUT00234,2017-06-26,,,0.01700202504,0.003004115373,0.040972301138,8.4,103.0,,0.045,GRENZE SÜD,47.68377,16.75959
AUT00234,2017-07-17,,,0.01300154856,0.003004115373,0.03497635463,9.6,105.0,,0.017,GRENZE SÜD,47.68377,16.75959
AUT00234,2017-08-21,,,0.03100369272,0.003004115373,0.033977030212,9.3,101.0,,0.035,GRENZE SÜD,47.68377,16.75959
AUT00234,2017-09-25,,,0.01400166768,0.003004115373,0.040972301138,10.3,103.0,,0.023,GRENZE SÜD,47.68377,16.75959
AUT00234,2018-06-11,,,0.03600428832,0.003004115373,0.048966896482,9.0,117.0,,0.033,GRENZE SÜD,47.68377,16.75959
AUT00234,2018-07-16,,,0.01300154856,0.003004115373,0.028980408122,8.4,106.0,,0.022,GRENZE SÜD,47.68377,16.75959
