Station,Date,Time,BOD,EC,NH4N,O2-Dis,TOTCOLI,pH,Station Identifier,Latitude,Longitude
IND00124,2020-01-09,,0.2,283.0,,9.0,41.0,7.8,BEAS AT D/S DEHRAGOPIPUR,31.878094,76.203311
IND00124,2020-02-06,,0.2,190.0,,9.1,32.0,7.8,BEAS AT D/S DEHRAGOPIPUR,31.878094,76.203311
IND00124,2020-03-05,,0.1,356.0,,9.0,27.0,7.6,BEAS AT D/S DEHRAGOPIPUR,31.878094,76.203311
IND00124,2020-04-23,,0.1,238.0,,8.6,33.0,7.8,BEAS AT D/S DEHRAGOPIPUR,31.878094,76.203311
IND00124,2020-05-01,,0.2,169.0,,9.2,49.0,7.9,BEAS AT D/S DEHRAGOPIPUR,31.878094,76.203311
IND00124,2020-06-03,,0.3,214.0,0.0,8.9,58.0,7.8,BEAS AT D/S DEHRAGOPIPUR,31.878094,76.203311
IND00124,2020-07-02,,0.2,135.0,,9.0,27.0,8.0,BEAS AT D/S DEHRAGOPIPUR,31.878094,76.203311
IND00124,2020-08-05,,0.3,180.0,0.0,8.7,48.0,7.7,BEAS AT D/S DEHRAGOPIPUR,31.878094,76.203311
IND00124,2020-09-01,,0.3,198.0,0.0,8.9,27.0,7.8,BEAS AT D/S DEHRAGOPIPUR,31.878094,76.203311
IND00262,2020-01-09,,1.4,269.0,0.01,7.6,31.0,7.6,SONE AT CHACHAI M.P.,23.169815,81.656141
IND00262,2020-02-11,,1.0,286.0,0.01,7.7,27.0,7.8,SONE AT CHACHAI M.P.,23.169815,81.656141
IND00262,2020-03-04,,0.3,318.0,0.11,7.8,41.0,7.8,SONE AT CHACHAI M.P.,23.169815,81.656141
IND00262,2020-04-16,,0.8,158.0,0.0,7.2,,8.0,SONE AT CHACHAI M.P.,23.169815,81.656141
IND00262,2020-05-06,,1.0,201.0,0.0,7.8,37.0,7.9,SONE AT CHACHAI M.P.,23.169815,81.656141
IND00262,2020-06-06,,0.9,218.0,0.0,7.9,33.0,7.8,SONE AT CHACHAI M.P.,23.169815,81.656141
IND00262,2020-07-04,,1.4,337.0,0.01,7.4,43.0,7.8,SONE AT CHACHAI M.P.,23.169815,81.656141
IND00262,2020-08-05,,1.6,387.0,0.01,7.1,37.0,7.48,SONE AT CHACHAI M.P.,23.169815,81.656141
IND00262,2020-09-07,,1.6,324.0,0.01,7.1,48.0,7.8,SONE AT CHACHAI M.P.,23.169815,81.656141
IND00262,2020-10-06,,1.6,341.0,,1.6,48.0,7.3,SONE AT CHACHAI M.P.,23.169815,81.656141
IND00262,2020-11-19,,1.4,236.0,,7.8,41.0,7.6,SONE AT CHACHAI M.P.,23.169815,81.656141
IND00262,2020-12-05,,1.1,246.0,,7.6,31.0,7.6,SONE AT CHACHAI M.P.,23.169815,81.656141
IND00293,2020-01-06,,1.5,543.0,0.6,6.4,500.0,7.4,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.001874,78.364986
IND00293,2020-02-12,,1.3,640.0,,6.3,700.0,7.3,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.001874,78.364986
IND00293,2020-03-04,,1.2,551.0,,6.4,900.0,7.4,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.001874,78.364986
IND00293,2020-04-15,,1.0,694.0,0.7,4.9,400.0,6.9,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.001874,78.364986
IND00293,2020-05-09,,2.2,748.0,,5.6,700.0,6.6,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.001874,78.364986
IND00293,2020-06-08,,1.7,982.0,,5.9,500.0,7.5,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.001874,78.364986
IND00293,2020-07-09,,2.6,1243.0,0.2,5.2,500.0,7.8,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.001874,78.364986
IND00293,2020-08-10,,1.6,825.0,0.4,5.4,300.0,7.5,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.001874,78.364986
IND00293,2020-09-05,,1.0,394.0,1.7,6.5,300.0,7.3,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.001874,78.364986
IND00293,2020-10-03,,1.0,514.0,0.6,6.4,400.0,7.3,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.001874,78.364986
IND00293,2020-11-18,,1.5,660.0,0.8,6.1,280.0,7.8,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.001874,78.364986
IND00293,2020-12-11,,1.5,643.0,1.1,6.0,430.0,8.1,KRISHNA A/C WITH TUNGABHADRA SANGAMESHWARAM KUNOOL,16.001874,78.364986
IND00370,2020-01-03,,0.6,254.0,0.84,7.7,3500.0,7.3,KUAKHAI AT BHUBANESWAR U/S,20.297906,85.88236500000001
IND00370,2020-02-14,,1.2,224.0,0.56,8.4,3500.0,7.6,KUAKHAI AT BHUBANESWAR U/S,20.297906,85.88236500000001
IND00370,2020-03-06,,0.7,218.0,0.56,8.9,4900.0,7.6,KUAKHAI AT BHUBANESWAR U/S,20.297906,85.88236500000001
IND00370,2020-04-18,,0.2,258.0,,7.2,2400.0,7.6,KUAKHAI AT BHUBANESWAR U/S,20.297906,85.88236500000001
IND00370,2020-05-18,,1.5,180.0,,6.6,3500.0,8.3,KUAKHAI AT BHUBANESWAR U/S,20.297906,85.88236500000001
IND00370,2020-06-30,,1.8,145.0,0.56,5.4,5400.0,7.6,KUAKHAI AT BHUBANESWAR U/S,20.297906,85.88236500000001
IND00370,2020-07-09,,1.1,171.0,,6.1,4600.0,8.0,KUAKHAI AT BHUBANESWAR U/S,20.297906,85.88236500000001
IND00370,2020-08-24,,1.3,141.0,0.84,7.0,1300.0,7.4,KUAKHAI AT BHUBANESWAR U/S,20.297906,85.88236500000001
IND00370,2020-09-24,,1.4,191.0,1.68,7.3,2200.0,7.7,KUAKHAI AT BHUBANESWAR U/S,20.297906,85.88236500000001
IND00370,2020-10-21,,1.9,185.0,1.12,6.8,3500.0,8.1,KUAKHAI AT BHUBANESWAR U/S,20.297906,85.88236500000001
IND00370,2020-11-05,,1.6,195.0,1.68,8.1,2200.0,8.0,KUAKHAI AT BHUBANESWAR U/S,20.297906,85.88236500000001
IND00376,2020-02-12,,0.8,280.0,0.44,6.0,39.0,8.0,CHAMBAL AT KOTA U/S (INTAKE PT. NEAR BARRAGE) RAJA,25.141518,75.794083
IND00376,2020-04-21,,1.5,280.0,0.36,6.3,28.0,8.2,CHAMBAL AT KOTA U/S (INTAKE PT. NEAR BARRAGE) RAJA,25.141518,75.794083
IND00376,2020-06-18,,1.2,350.0,0.3,4.5,39.0,8.3,CHAMBAL AT KOTA U/S (INTAKE PT. NEAR BARRAGE) RAJA,25.141518,75.794083
