Station,Date,Time,A340,As-Tot,COL-True,Cd-Tot,Chl-a,Cr-Tot,DOC,EC,ENTCOCC,FECALCOLI,Hg-Tot,NH3N,NO2N,NO3N,Ni-Tot,O2-Dis,O2-Dis-Sat,Pb-Tot,TDS,TEMP,TEMP-Air,TKN,TN,TOC,TON,TP,TRANS,TRP,TSS,TURB,pH,Station Identifier,Latitude,Longitude
MEX00157,2015-02-19,,0.0706,0.00139,10.0,0.2,0.0025,0.00088,2.607,653.0,,90.0,0.09,0.3826,0.005,0.1194,0.0002,1.9,26.45,0.00154,417.92,27.3,20.3,0.769,0.8934,6.638,0.3864,0.001,0.6,0.001,11.0,6.25,7.7,AQUILES SERDAN LAGOON,18.96285,-90.71163
MEX00157,2015-09-15,,0.0634,0.00139,10.0,0.2,0.0021,0.00088,5.175,636.0,,3.0,0.09,0.196,0.005,0.004,0.0002,3.9,44.65,0.00154,407.04,31.4,28.1,0.4866,0.4956,5.842,0.2906,0.1535,1.1,0.0148,10.0,2.08,7.7,AQUILES SERDAN LAGOON,18.96285,-90.71163
MEX00157,2016-02-25,,0.0595,0.00139,20.0,0.2,0.0129,0.00088,4.65,655.0,,3.0,0.09,0.0213,0.005,0.004,0.0002,6.9,86.0,0.00154,419.2,26.5,26.9,0.1921,0.2011,5.559,0.1708,0.0162,0.8,0.001,10.0,0.47,7.7,AQUILES SERDAN LAGOON,18.96285,-90.71163
MEX00157,2016-08-18,,0.0651,0.00139,10.0,0.2,0.0055,0.00088,3.949,593.0,,90.0,0.09,0.0266,0.005,0.004,0.0002,4.65,67.2,0.00154,379.52,31.9,27.6,0.6229,0.6319,4.372,0.5963,0.0087,0.3,0.001,10.0,0.92,7.92,AQUILES SERDAN LAGOON,18.96285,-90.71163
MEX00157,2017-04-24,,0.0782,0.00139,15.0,0.2,0.0087,0.00088,7.75,673.0,,90.0,0.09,0.1119,0.005,0.041,0.0002,3.5,61.5,0.00154,430.72,31.6,32.0,0.9677,1.0137,9.196,0.8558,0.5611,0.5,0.0091,18.0,10.3,8.7,AQUILES SERDAN LAGOON,18.96285,-90.71163
MEX00157,2017-09-18,,0.0833,0.00139,15.0,0.2,0.0089,0.00088,4.188,444.3,,30.0,0.09,0.0814,0.005,0.3872,0.0002,5.4,68.9,0.00154,284.352,32.7,33.0,1.0148,1.407,5.054,0.9334,0.01,0.72,0.001,10.0,2.34,7.5,AQUILES SERDAN LAGOON,18.96285,-90.71163
MEX00157,2018-01-19,,0.0861,0.00139,30.0,0.2,0.0073,0.00088,3.974,655.7,,70.0,0.09,0.1093,0.005,0.2547,0.0002,5.6,66.4,0.00154,419.648,24.2,23.0,1.5619,1.8216,4.843,1.4526,0.0211,0.55,0.001,10.0,12.0,8.0,AQUILES SERDAN LAGOON,18.96285,-90.71163
MEX00157,2018-07-23,,0.0762,0.00139,10.0,0.2,0.002,0.00088,4.971,643.7,,30.0,0.09,0.1508,0.021,0.3425,0.0002,5.5,68.5,0.00154,411.968,29.5,36.0,3.5687,3.9322,7.112,3.4179,0.0223,1.7,0.0088,32.0,2.5,9.0,AQUILES SERDAN LAGOON,18.96285,-90.71163
MEX00157,2018-10-23,,0.0729,0.00139,30.0,0.2,0.0055,0.00088,3.249,671.0,,30.0,0.09,0.0292,0.005,,0.0002,3.4,45.2,0.00154,429.44,32.2,30.0,1.3007,,4.566,1.2715,0.0078,1.3,0.001,36.0,2.8,7.3,AQUILES SERDAN LAGOON,18.96285,-90.71163
MEX00157,2019-02-05,,0.0864,0.00139,20.0,0.23,0.0076,0.00088,6.11,839.0,,70.0,0.09,0.0214,0.005,1.78,0.0002,4.3,56.2,0.00154,536.96,29.4,30.0,2.1532,3.9382,10.991,2.1318,0.0526,1.4,0.0178,10.0,12.0,7.7,AQUILES SERDAN LAGOON,18.96285,-90.71163
MEX00157,2020-07-27,,,0.01,40.0,3.0,,0.005,5.345,538.0,,90.0,0.5,0.0907,0.021,0.0481,0.001,4.3,56.3,0.005,344.32,30.3,31.0,1.2154,1.2845,5.502,1.1247,0.0124,0.8,0.007,10.0,2.5,7.7,AQUILES SERDAN LAGOON,18.96285,-90.71163
