Station,Date,Time,Alk-Tot,BOD,Ca-Dis,Cl-Dis,EC,Fe-Dis,Mg-Dis,NH3N,NO3N,Na-Dis,O2-Dis,Pb-Dis,SO4-Dis,SiO2-Rea,TDP,TEMP,TSS,Zn-Dis,pH,Station Identifier,Latitude,Longitude
RUS00006,2015-07-29,,30.0,1.0,9.1,4.2,,0.01,1.1,0.01,0.12,5.0,9.0,0.001,7.5,0.1,0.02,17.6,2.0,0.006,7.2,Ladoga Lake,60.0,31.1666666666667
RUS00006,2015-07-29,,32.0,1.0,9.6,4.2,,0.02,1.0,0.01,0.12,5.2,9.2,0.001,7.4,0.2,0.02,17.5,2.0,0.0059,7.2,Ladoga Lake,60.0,31.1666666666667
RUS00006,2016-10-20,,48.0,1.3,11.4,6.8,100.0,0.22,2.8,0.01,0.25,5.0,10.7,0.001,8.5,0.4,0.02,7.1,2.0,0.051,7.2,Ladoga Lake,60.0,31.1666666666667
RUS00006,2016-10-20,,49.0,1.0,11.3,6.8,100.0,0.22,2.8,0.01,0.25,4.9,10.8,0.002,7.4,0.5,0.02,7.0,2.0,0.018,7.2,Ladoga Lake,60.0,31.1666666666667
RUS00006,2017-07-27,,48.0,1.6,8.9,4.5,100.0,0.02,1.3,0.01,0.12,5.7,8.9,0.001,12.6,0.6,0.02,17.0,2.0,0.005,7.2,Ladoga Lake,60.0,31.1666666666667
RUS00006,2017-07-27,,54.0,1.5,9.4,4.6,100.0,0.02,1.3,0.01,0.12,5.7,7.0,0.001,12.9,0.1,0.02,17.0,2.0,0.004,7.1,Ladoga Lake,60.0,31.1666666666667
RUS00006,2018-08-01,,35.0,1.0,9.2,8.0,100.0,,3.0,0.04,0.15,6.6,9.1,0.001,8.0,0.1,0.05,19.7,2.0,0.012,7.5,Ladoga Lake,60.0,31.1666666666667
RUS00006,2018-08-01,,33.0,1.0,9.1,5.0,100.0,,2.0,0.02,0.12,5.5,7.3,0.001,7.0,0.1,0.08,13.3,2.0,0.01,7.5,Ladoga Lake,60.0,31.1666666666667
RUS00006,2019-08-07,,41.0,1.1,10.9,5.0,100.0,0.002,3.0,0.01,0.26,5.3,9.7,0.01,8.0,0.1,0.02,15.6,2.0,0.006,8.7,Ladoga Lake,60.0,31.1666666666667
RUS00006,2019-08-07,,40.0,1.2,10.6,5.0,100.0,0.002,3.0,0.03,0.18,5.1,9.8,0.01,8.0,0.1,0.02,14.9,2.0,0.002,8.3,Ladoga Lake,60.0,31.1666666666667
RUS00006,2020-07-08,,43.0,1.0,8.3,6.0,100.0,0.002,7.0,0.02,0.06,4.0,9.4,0.01,6.0,0.1,0.02,15.9,2.0,0.016,7.7,Ladoga Lake,60.0,31.1666666666667
RUS00006,2020-08-26,,41.0,1.0,9.8,5.0,100.0,0.002,4.0,0.03,0.09,5.0,9.2,0.01,7.0,0.4,0.02,17.4,2.0,0.015,7.7,Ladoga Lake,60.0,31.1666666666667
RUS00006,2021-05-25,,44.0,1.5,8.4,5.0,100.0,0.002,4.0,0.02,0.42,4.0,10.7,0.01,7.0,0.1,0.02,10.8,2.0,0.011,8.1,Ladoga Lake,60.0,31.1666666666667
RUS00006,2021-08-01,,38.0,1.0,9.0,5.0,100.0,0.002,4.0,0.11,0.26,5.0,8.1,0.01,6.0,0.2,0.02,22.4,2.0,0.021,7.1,Ladoga Lake,60.0,31.1666666666667
RUS00006,2021-08-01,,38.0,1.1,8.1,4.0,100.0,0.002,4.0,0.09,0.17,4.0,9.2,0.01,6.0,0.4,0.02,20.3,2.0,0.011,7.3,Ladoga Lake,60.0,31.1666666666667
RUS00006,2022-06-09,,40.0,0.5,9.0,5.7,100.0,0.04,2.4,0.02,0.21,4.5,10.5,0.01,7.6,0.1,0.02,11.9,2.0,0.0072,7.1,Ladoga Lake,60.0,31.1666666666667
RUS00006,2022-08-03,,42.0,1.0,9.0,5.0,100.0,0.03,2.7,0.01,0.23,4.8,9.4,0.01,7.0,0.2,0.02,16.7,2.0,0.0074,7.1,Ladoga Lake,60.0,31.1666666666667
RUS00006,2022-08-03,,40.0,1.0,7.9,6.7,100.0,0.03,2.9,0.01,0.36,4.8,9.6,0.01,7.3,0.1,0.02,18.2,2.0,0.0103,7.3,Ladoga Lake,60.0,31.1666666666667
RUS00006,2022-10-01,,44.0,0.5,9.1,5.3,100.0,0.05,2.7,0.01,0.16,5.1,10.2,0.01,6.9,0.1,0.02,10.7,2.0,0.0374,7.3,Ladoga Lake,60.0,31.1666666666667
RUS00006,2022-10-01,,45.0,0.5,9.7,6.7,100.0,0.06,3.0,0.01,0.14,5.6,10.3,0.01,6.9,0.1,0.02,10.9,2.0,0.0098,7.3,Ladoga Lake,60.0,31.1666666666667
RUS00007,2015-03-18,,20.0,3.3,5.0,2.2,100.0,0.41,2.2,0.04,0.03,,10.6,0.001,3.0,1.6,0.02,0.0,2.0,,7.5,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2015-06-16,,16.0,1.8,6.5,1.8,100.0,0.37,0.7,0.01,0.04,,10.8,0.001,6.6,0.05,0.02,11.3,2.0,,7.2,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2015-08-27,,22.0,3.2,5.8,1.9,100.0,0.37,1.7,0.04,0.01,,9.4,0.001,4.7,0.5,0.02,16.0,2.0,,7.2,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2015-08-27,,20.0,1.9,5.8,1.7,100.0,0.15,1.8,0.03,0.01,,9.7,,5.0,0.05,0.02,11.0,2.0,,7.2,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2015-10-30,,32.0,,7.9,4.5,100.0,0.43,3.7,0.03,0.03,,12.5,0.001,7.1,1.3,0.02,4.0,2.0,,7.5,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2016-03-24,,12.0,1.6,1.5,4.2,,0.1,2.7,0.01,0.1,,11.0,0.001,2.6,1.3,0.16,0.0,2.0,,6.7,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2016-06-01,,13.0,3.3,3.7,1.3,,0.4,1.0,0.1,0.02,,9.4,0.001,1.4,1.3,0.02,15.4,2.0,,7.0,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2016-06-01,,16.0,3.3,4.5,2.2,,0.51,1.3,0.02,0.04,,10.0,,1.9,1.2,0.02,7.4,2.0,,7.1,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2016-08-24,,16.0,0.5,3.9,2.3,100.0,0.7,1.7,0.01,0.02,,9.7,0.001,2.9,1.1,0.03,17.7,2.0,,7.1,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2016-08-24,,16.0,1.1,3.9,2.5,100.0,0.2,1.7,0.01,0.01,,9.3,,3.1,1.0,0.03,18.0,2.0,,7.1,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2016-10-12,,19.0,0.5,4.9,2.9,100.0,0.12,1.9,0.01,0.05,,11.0,0.001,4.4,0.6,0.02,8.6,2.0,,7.4,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2016-10-12,,21.0,1.0,4.7,3.1,100.0,2.33,2.0,0.01,0.05,,10.0,,4.5,0.8,0.02,8.0,2.0,,7.5,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2017-03-29,,14.0,1.5,3.3,9.7,100.0,0.54,1.6,0.01,0.13,,10.2,0.001,1.6,2.3,0.03,0.0,2.0,,7.0,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2017-05-26,,12.0,3.3,2.3,4.6,,0.59,2.2,0.01,0.1,,11.1,0.001,2.0,2.0,0.03,7.4,2.0,,7.1,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2017-05-26,,18.0,2.4,2.3,4.7,100.0,0.57,2.2,0.01,0.12,,11.6,,1.4,1.7,0.03,4.2,2.0,,7.1,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2017-08-30,,20.0,2.8,5.5,4.2,100.0,0.19,2.0,0.02,0.16,,9.0,0.001,1.4,0.2,0.03,14.2,2.0,,7.5,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2017-08-30,,22.0,2.4,5.8,4.1,100.0,0.09,2.1,0.03,0.13,,9.2,,1.2,0.3,0.03,10.6,2.0,,7.5,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2017-10-19,,19.0,2.5,2.8,3.2,100.0,0.21,1.0,0.01,0.15,,10.4,0.001,1.2,0.8,0.03,8.2,2.0,,7.2,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2017-10-19,,20.0,1.2,3.3,3.3,100.0,0.34,1.1,0.01,0.14,,10.0,,1.3,0.7,0.04,8.0,2.0,,7.3,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2018-03-22,,11.0,1.7,3.9,2.0,,0.62,1.0,0.03,0.14,,12.4,0.001,3.0,1.9,0.02,0.0,2.0,,6.8,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2018-05-31,,15.0,0.5,0.4,1.0,100.0,0.24,0.2,0.01,0.13,,11.2,,2.0,1.6,0.03,7.7,2.0,,7.2,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2018-08-20,,20.0,0.5,5.1,2.0,100.0,0.45,2.0,0.01,0.21,,10.2,,4.0,0.5,0.02,8.0,2.0,,7.2,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2018-10-11,,22.0,1.0,5.5,2.0,100.0,0.08,2.0,0.03,0.2,,10.3,,4.0,0.1,0.03,8.4,2.0,,7.5,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2019-03-26,,13.0,1.7,3.9,3.0,,0.43,2.0,0.02,0.65,,8.5,0.01,5.0,2.4,0.02,0.0,6.0,,6.9,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2019-06-13,,21.0,1.6,4.7,3.0,100.0,0.27,2.0,0.03,0.44,,11.0,,8.0,0.6,0.02,6.2,2.0,,7.3,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2019-06-13,,19.0,1.1,4.4,3.0,100.0,0.26,2.0,0.01,0.47,,10.7,0.01,8.0,0.4,0.02,12.2,2.0,,7.3,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2019-08-21,,23.0,1.0,5.8,3.0,100.0,0.17,2.0,0.01,0.48,,9.6,,9.0,0.8,0.02,8.2,2.0,,7.5,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2019-08-21,,22.0,1.3,5.4,3.0,100.0,0.14,2.0,0.01,0.3,,9.5,0.01,8.0,0.6,0.02,16.0,2.0,,7.5,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2019-10-30,,22.0,1.8,6.0,1.0,100.0,0.17,2.0,0.01,0.27,,8.6,,4.0,0.7,0.02,5.3,2.0,,7.5,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2019-10-30,,22.0,1.9,6.0,1.0,100.0,0.12,2.0,0.01,0.22,,11.2,0.01,4.0,0.5,0.02,5.5,2.0,,7.5,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
RUS00007,2020-03-11,,12.0,1.8,9.7,1.0,,0.18,3.0,0.08,0.13,,11.0,0.01,3.0,2.9,0.02,0.0,2.0,,6.9,Onezhskoye Lake (Onega),61.6666666666667,34.3333333333333
