Station,Date,Time,Alk-Tot,COL-True,EC,TEMP,TURB,pH,Station Identifier,Latitude,Longitude
URY00076,2015-01-02,,55.0,105.0,133.0,22.7,15.3,7.78,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-05,,52.0,88.5,133.0,21.7,12.4,8.17,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-07,,58.0,84.1,136.0,22.2,13.0,8.37,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-08,,53.0,89.2,136.0,24.6,11.9,8.06,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-09,,57.0,75.5,134.0,24.4,8.53,8.28,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-12,,55.0,76.7,135.0,24.4,10.1,8.73,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-13,,53.0,83.1,135.0,24.1,38.2,8.92,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-14,,51.0,80.41,134.0,21.0,43.9,9.13,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-15,,47.0,81.7,136.0,22.5,17.3,9.18,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-16,,52.0,72.2,134.0,23.7,10.5,8.93,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-19,,53.0,68.3,136.0,22.8,13.8,9.33,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-20,,52.0,71.2,136.0,22.9,14.8,9.12,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-21,,52.0,62.25,137.0,22.9,13.2,9.2,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-22,,51.0,72.6,139.0,22.4,15.8,9.11,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-23,,50.0,60.3,138.0,23.8,13.8,9.27,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-26,,53.0,67.4,139.0,23.5,14.9,9.05,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-27,,57.0,60.9,148.0,25.9,10.5,9.12,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-28,,56.0,59.4,140.0,23.4,11.9,8.75,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-29,,55.0,63.1,140.0,24.5,10.6,8.15,Toma de agua,-34.829733,-55.042069
URY00076,2015-01-30,,60.0,68.5,140.0,23.6,9.05,7.97,Toma de agua,-34.829733,-55.042069
URY00076,2015-02-02,,59.0,60.3,139.0,24.7,5.45,7.98,Toma de agua,-34.829733,-55.042069
